
canonical_input,grammar_id,category,title,title_ar,definition,definition_ar,meta_json
grammar|PARTIALLY_FLEXIBLE,PARTIALLY_FLEXIBLE,noun_property,Partially flexible noun,اسم غير منصرف,"A noun that takes only two forms for the three cases; it cannot take tanween or kasra, so the naṣb and jarr forms both have a fatḥa",اسم يأتي بصيغتين فقط للحالات الثلاث؛ لا يقبل التنوين ولا الكسرة، فيكون النصب والجر بفتحة,"{""parent"": ""FLEXIBILITY_PROPERTY""}"
grammar|NUMBER_PROPERTY,NUMBER_PROPERTY,noun_property,Number,عدد,"Indicates the quantity associated with a noun: singular, dual or plural",يدل على الكمية المرتبطة بالاسم: مفرد أو مثنى أو جمع,"{""parent"": ""NOUN""}"
grammar|SINGULAR,SINGULAR,noun_property,Singular noun,مفرد,A noun referring to one entity,اسم يدل على واحد,"{""parent"": ""NUMBER_PROPERTY""}"
grammar|DUAL,DUAL,noun_property,Dual noun,مثنى,A noun referring to two entities; typically marked by endings such as -ān or -ayn,اسم يدل على اثنين؛ غالباً ما يُعرف بانتهائه بألف ونون أو ياء ونون,"{""parent"": ""NUMBER_PROPERTY""}"
grammar|PLURAL,PLURAL,noun_property,Plural noun,جمع,A noun referring to more than two entities; includes sound plurals and broken plurals,اسم يدل على أكثر من اثنين؛ يشمل الجمع السالم والجمع المكسر,"{""parent"": ""NUMBER_PROPERTY""}"
grammar|HUMAN_PLURAL,HUMAN_PLURAL,noun_property,Human plural,جمع إنسان,"A plural referring to human beings; may appear as sound masculine (-ūn/-īn), sound feminine (-āt) or broken plural forms",جمع يدل على البشر؛ قد يأتي بصيغة المذكر السالم أو المؤنث السالم أو الجمع المكسر,"{""parent"": ""PLURAL""}"
grammar|NON_HUMAN_PLURAL,NON_HUMAN_PLURAL,noun_property,Non-human plural,جمع غير عاقل,A plural referring to non-human entities; grammatically treated as singular feminine and often has a sound feminine ending (-āt) or broken plural form,جمع يدل على غير العاقل؛ يُعامل نحويًا معاملة المفرد المؤنث وغالبًا ما ينتهي بألف وتاء أو يأتي جمعًا مكسرًا,"{""parent"": ""PLURAL""}"
grammar|GENDER_PROPERTY,GENDER_PROPERTY,noun_property,Gender,جنس,The grammatical classification of nouns into masculine and feminine,التصنيف النحوي للأسماء إلى مذكر ومؤنث,"{""parent"": ""NOUN""}"
grammar|MASCULINE,MASCULINE,noun_property,Masculine noun,مذكر,The default grammatical gender; nouns that are not classified as feminine are considered masculine,الجنس الافتراضي؛ يُعد الاسم مذكرًا إذا لم يكن مؤنثًا,"{""parent"": ""GENDER_PROPERTY""}"
grammar|FEMININE,FEMININE,noun_property,Feminine noun,مؤنث,A noun considered grammatically feminine due to meaning or form; feminine nouns include biologically female beings and words ending with specific markers or by convention,اسم يُعد مؤنثًا لأسباب معنوية أو شكلية؛ يتضمن ما يدل على الإناث أو ما ينتهي بعلامات التأنيث أو بالتلقي,"{""parent"": ""GENDER_PROPERTY""}"
grammar|FEM_BIO,FEM_BIO,noun_property,Biological feminine noun,مؤنث حقيقي,"A feminine noun referring to a female human or animal (e.g., امرأة, بقرة)",اسم مؤنث يدل على أنثى من البشر أو الحيوانات مثل امرأة وبقرة,"{""parent"": ""FEMININE""}"
grammar|FEM_ENDING,FEM_ENDING,noun_property,Feminine by ending,مؤنث بالتأنيث,"A noun treated as feminine because of its ending, such as the tā’ marbūṭa (ة), alif maqṣūra (ى) or alif mamdūda (ا)",اسم مؤنث بسبب نهايته مثل التاء المربوطة أو الألف المقصورة أو الألف الممدودة,"{""parent"": ""FEMININE""}"
grammar|FEM_PAIRS,FEM_PAIRS,noun_property,Feminine (paired body parts),مؤنث مزدوج,"Names of body parts that come in pairs (e.g., عين, يد) are grammatically feminine",أسماء أعضاء الجسم التي تأتي أزواجًا (مثل عين، يد) تُعامل كمؤنث,"{""parent"": ""FEMININE""}"
grammar|FEM_PLACE,FEM_PLACE,noun_property,Feminine place name,مؤنث مكاني,Proper names of cities and places are treated as feminine in Arabic grammar,أسماء الأمكنة والمدن تُعامل نحويًا كمؤنث,"{""parent"": ""FEMININE""}"
grammar|FEM_NON_HUMAN_PLURAL,FEM_NON_HUMAN_PLURAL,noun_property,Feminine (non-human plural),جمع غير عاقل مؤنث,Plurals referring to non-human entities are treated grammatically as singular feminine,الجمع الدال على غير العاقل يُعامل نحويًا معاملة المفرد المؤنث,"{""parent"": ""FEMININE""}"
grammar|FEM_ARBITRARY,FEM_ARBITRARY,noun_property,Arbitrary feminine,مؤنث سماعي,Words considered feminine by convention without an obvious marker or reason,ألفاظ تُعد مؤنثًا بالسماع دون علامة أو سبب واضح,"{""parent"": ""FEMININE""}"
grammar|TYPE_PROPERTY,TYPE_PROPERTY,noun_property,Type,نوع الاسم,Indicates whether a noun is common (indefinite) or proper (definite),يبين ما إذا كان الاسم نكرة أو علمًا معرَّفًا,"{""parent"": ""NOUN""}"
grammar|TYPE_COMMON,TYPE_COMMON,noun_property,Common noun,اسم نكرة,"A noun referring to a general, non-specific entity; indefinite",اسم يدل على شيء غير محدد وغير معرف,"{""parent"": ""TYPE_PROPERTY""}"
grammar|TYPE_PROPER,TYPE_PROPER,noun_property,Proper noun,اسم علم,"A noun referring to a specific entity; includes names of people, places, pronouns, demonstratives and nouns made definite by al- or idāfa",اسم يدل على شيء محدد؛ يشمل أسماء الأشخاص والأماكن والضمائر وأسماء الإشارة والأسماء المعرفة بأل أو بالإضافة,"{""parent"": ""TYPE_PROPERTY""}"
grammar|TYPE_PROPER_AL,TYPE_PROPER_AL,noun_property,Definite by al-,معرف باللام,A noun made definite by the definite article al- (ال),اسم أصبح معرفًا بدخول أل التعريف عليه,"{""parent"": ""TYPE_PROPER""}"
grammar|TYPE_PROPER_NAME,TYPE_PROPER_NAME,noun_property,Proper name,اسم علم شخص أو مكان,A personal or place name considered proper,اسم شخص أو مكان يعد علمًا معرفًا,"{""parent"": ""TYPE_PROPER""}"
grammar|TYPE_PROPER_MUNADA,TYPE_PROPER_MUNADA,noun_property,Vocative noun,منادى معرف,A noun being addressed using a vocative particle (yā); treated as definite,اسم يُنادى به بواسطة حرف النداء (يا) فيعد معرفًا,"{""parent"": ""TYPE_PROPER""}"
grammar|TYPE_PROPER_PRONOUN,TYPE_PROPER_PRONOUN,noun_property,Pronoun (proper),ضمير معرف,A pronoun functions as a proper noun because it refers to a specific person or thing,الضمير يقوم مقام الاسم العلم لأنه يشير إلى شخص أو شيء محدد,"{""parent"": ""TYPE_PROPER""}"
grammar|TYPE_PROPER_DEMONSTRATIVE,TYPE_PROPER_DEMONSTRATIVE,noun_property,Demonstrative pronoun (proper),اسم إشارة معرف,Demonstrative nouns such as هذا/هذه are inherently definite,أسماء الإشارة مثل هذا وهذه تعتبر معرفة بذاتها,"{""parent"": ""TYPE_PROPER""}"
grammar|TYPE_PROPER_RELATIVE,TYPE_PROPER_RELATIVE,noun_property,Relative pronoun (proper),اسم موصول معرف,Relative pronouns like الذي/التي are definite because they refer to a specific antecedent,الأسماء الموصولة مثل الذي والتي تُعد معرفة لأنها تعود على اسم محدد,"{""parent"": ""TYPE_PROPER""}"
grammar|TYPE_PROPER_IDAFA,TYPE_PROPER_IDAFA,noun_property,Idāfa-defined noun,مضاف معرف,A noun becomes definite when it is the first term (mudāf) in an idāfa where the second term is definite,الاسم يصبح معرفًا إذا كان مضافًا في إضافة والمضاف إليه معرف,"{""parent"": ""TYPE_PROPER""}"
grammar|BALAGHA,BALAGHA,rhetoric,Balāgha,البلاغة,"The science of Arabic eloquence comprising sub-fields such as ilm al-bayān, ilm al-ma'ānī and others to convey meaning effectively and beautifully",علم البلاغة يجمع فنون البيان والمعاني وغيرها لإيصال المعنى بوضوح وجمال,{}
grammar|ILM_BAYAN,ILM_BAYAN,rhetoric_subfield,Ilm al-Bayān,علم البيان,"A subfield of balāgha dealing with clarity of expression through devices like simile (tashbīh), metaphor (istiʿāra), metonymy (kināya) and extended metaphor (majāz mursal)",علم من علوم البلاغة يهتم بإيضاح المعنى باستخدام التشبيه والاستعارة والكناية والمجاز المرسل,"{""parent"": ""BALAGHA""}"
grammar|TASHBIH,TASHBIH,rhetoric_device,Tashbīh (simile),التشبيه,"A figure of speech showing that a thing shares attributes with another using an instrument such as the particle kāf; consists of the compared, the standard, the instrument and the aspect of similarity",أسلوب يبيِّن مشاركة شيء لغيره في صفة بواسطة أداة مثل الكاف، وله أركان: المشبَّه والمشبَّه به والأداة ووجه الشبه,"{""parent"": ""ILM_BAYAN""}"
grammar|ISTIARA,ISTIARA,rhetoric_device,Istiʿāra (metaphor),استعارة,A form of linguistic metaphor (majāz lughawī) in which one element of a simile is omitted; may be explicit (tasrīḥiyya) or implicit (makniyya),نوع من المجاز اللغوي يُحذف فيه أحد طرفي التشبيه؛ قد تكون استعارة تصريحّية أو مكنيّة,"{""parent"": ""ILM_BAYAN""}"
grammar|KINAYA,KINAYA,rhetoric_device,Kināya (metonymy),كناية,An expression in which a word or phrase is used to imply a hidden meaning without explicitly mentioning it,أسلوب بلاغي يُستخدم فيه اللفظ للتعبير عن معنى خفي دون ذكره صراحة,"{""parent"": ""ILM_BAYAN""}"
grammar|MAJAZ_MURSAL,MAJAZ_MURSAL,rhetoric_device,Majāz Mursal (extended metaphor),مجاز مرسل,A rhetorical figure where a word is used in a figurative sense due to a relation other than resemblance; requires a contextual clue (qarīnah) to prevent the literal meaning,أسلوب بلاغي يُستعمل فيه اللفظ في غير معناه الأصلي لعلاقة غير المشابهة مع وجود قرينة تمنع إرادة المعنى الحقيقي,"{""parent"": ""ILM_BAYAN""}"
