
ar_u_grammar,canonical_input,grammar_id,category,title,title_ar,definition,definition_ar,meta_json
,grammar|ISTITHNA,ISTITHNA,syntax,Exception,الاستثناء,Grammatical structure excluding something from a general statement.,تركيب نحوي يُخرج فيه شيء من حكم عام.,
,grammar|MUSTATHNA,MUSTATHNA,syntax_role,Excepted noun,المستثنى,The noun that is excepted in an exception construction.,الاسم الذي يُستثنى في جملة الاستثناء.,
,grammar|MUSTATHNA_MINHU,MUSTATHNA_MINHU,syntax_role,Pre-exception set,المستثنى منه,The term from which something is excluded in an exception.,الكلمة أو الجملة التي يُستثنى منها.,
,grammar|ISTIʿNAF,ISTIʿNAF,discourse,Resumption,الاستئناف,Beginning a new sentence or clause without grammatical dependence on the previous.,بدء جملة جديدة مستقلة بعد انقطاع ما قبلها.,
,grammar|HARF_ISTIʿNAF,HARF_ISTIʿNAF,particles,Resumption particle,حرف الاستئناف,Particle that introduces an independent clause (often “wa” or “fa”).,"حرف يبتدأ به جملة جديدة مستقلة مثل ""و"" أو ""ف"".",
,grammar|ISTIQBAL,ISTIQBAL,tense,Future,الاستقبال,Future tense or sense.,الزمن أو الدلالة المستقبلية.,
,grammar|HARF_ISTIQBAL,HARF_ISTIQBAL,particles,Future particle,حرف الاستقبال,"Particle indicating future action (e.g., “sa–”).","حرف يدل على وقوع الفعل في المستقبل مثل ""سـ"".",
,grammar|HARF_JAZM,HARF_JAZM,particles,Jussive particle,حرف الجزم,Particle that puts the present verb into the jussive mood.,حرف يجزم الفعل المضارع.,
,grammar|HARF_NASIB,HARF_NASIB,particles,Accusative particle,حرف نصب,Particle that puts the present verb into the accusative mood.,حرف ينصب الفعل المضارع.,
,grammar|HARF_NIDA,HARF_NIDA,particles,Vocative particle,حرف النداء,"Particle used to call or address (e.g., “yā”).","حرف يُنادى به مثل ""يا"".",
,grammar|NIDA,NIDA,discourse,Vocative,النداء,The act of calling or addressing someone.,مناداة الشخص أو الشيء.,
,grammar|MUNADA,MUNADA,syntax_role,Word called (munādā),المنادى,The word being addressed in a vocative construction.,الاسم الذي يتم نداءه.,
,grammar|HARF_IJABA,HARF_IJABA,particles,Particle of response,حرف الإيجاب,Particle used to signal an affirmative response.,حرف يستخدم للإيجاب والرد.,
,grammar|F_RABITA_JAWAB,F_RABITA_JAWAB,particles,Fa’ connecting the apodosis,فاء رابطة لجواب الشرط,The particle “fa’” used to link the answer clause to the condition clause.,فاء تربط جملة الجواب بجملة الشرط.,
,grammar|FA_SABABIYYA,FA_SABABIYYA,particles,Causal fa’,فاء السببية,The particle “fa’” indicating reason or consequence.,فاء تدل على السبب أو النتيجة.,
,grammar|WA_MAʿIYYA,WA_MAʿIYYA,particles,Wāw of accompaniment,واو المعية,The particle “wa” used to denote accompaniment (with).,واو تدل على المعية والمصاحبة.,
,grammar|TAʿRIF,TAʿRIF,definiteness,Making definite,التعريف,Process of rendering a noun definite.,جعل الاسم معرفة.,
,grammar|TANKIR,TANKIR,definiteness,Making indefinite,التنكير,Process of rendering a noun indefinite.,جعل الاسم نكرة.,
,grammar|TANWIN,TANWIN,phonology,Nunation (tanwīn),التنوين,Doubling of the final vowel mark to indicate indefiniteness.,تضعيف الحركة الأخيرة للدلالة على النكرة.,
,grammar|MAʿRIFA,MAʿRIFA,definiteness,Definite noun,المعرفة,A noun known to the listener or specified.,اسم يدل على شيء معين ومعروف.,
,grammar|AL_TAʿRIF,AL_TAʿRIF,definiteness,“Al-” of definiteness,أل التعريف,The definite article “al-” used to make a noun definite.,"الأداة ""ال"" التي تجعل الاسم معرفة.",
,grammar|AL_ISTIGHRAQ,AL_ISTIGHRAQ,definiteness,“Al-” of totality,أل الاستغراق,Use of “al-” to include all members of a class.,"دخول ""ال"" للدلالة على الشمول لجميع أفراد الجنس.",
,grammar|AL_JINS,AL_JINS,definiteness,“Al-” of category,أل الجنس,Use of “al-” to refer to the category as a whole.,"""ال"" التي تدل على الجنس عموماً.",
,grammar|AL_AHD_KHARIJI,AL_AHD_KHARIJI,definiteness,External known “al-”,أل العهد الخارجي,Definite article referring to something known to both speaker and listener.,"""ال"" تشير إلى شيء معلوم للطرفين.",
,grammar|AL_AHD_DHIHNI,AL_AHD_DHIHNI,definiteness,Mental known “al-”,أل العهد الذهني,Definite article referring to something known in the mind of the speaker.,"""ال"" تشير إلى شيء معلوم في ذهن المتكلم.",
,grammar|DAMIR,DAMIR,pronouns,Pronoun,ضمير,Word used in place of a noun to refer to a person or thing.,كلمة تحل محل الاسم وتشير إليه.,
,grammar|DAMIR_MUTTASIL,DAMIR_MUTTASIL,pronouns,Attached pronoun,ضمير متصل,"Pronoun attached to a noun, verb or particle as a suffix.",ضمير يتصل بالكلمة ويلحق بها.,
,grammar|DAMIR_MUNFASIL,DAMIR_MUNFASIL,pronouns,Detached pronoun,ضمير منفصل,Independent pronoun appearing separately from other words.,ضمير يأتي منفصلاً عن الكلمة.,
,grammar|DAMIR_SHAN,DAMIR_SHAN,pronouns,Pronoun of matter (shan),ضمير الشأن,Pronoun used to introduce a clause referring to an undefined matter (usually “inna”).,"ضمير يستخدم لبيان شأن أو قضية غير محددة (غالباً ""إنه"").",
,grammar|ISM_MAWSUL,ISM_MAWSUL,pronouns,Relative pronoun,اسم الموصول,"Pronoun introducing a relative clause (e.g., “alladhi”).","اسم يبدأ به جملة صلة الموصول مثل ""الذي"".",
,grammar|SILAT_MAWSUL,SILAT_MAWSUL,syntax,Relative clause,صلة الموصول,Clause that completes the meaning of a relative pronoun.,جملة أو شبه جملة تكمّل معنى اسم الموصول.,
,grammar|AID,AID,cohesion,Resumptive pronoun,عائد,Pronoun that refers back to the antecedent within a relative clause.,ضمير يعود إلى الاسم الموصول في جملة الصلة.,
,grammar|ISM,ISM,nouns,Noun,اسم,"Word that names a person, place, thing or abstract concept.",كلمة تدل على شخص أو مكان أو شيء أو معنى.,
,grammar|ISM_ALA,ISM_ALA,nouns,Instrumental noun,اسم الآلة,Derived noun indicating instrument used to perform an action.,اسم مشتق يدل على الأداة التي يُفعل بها.,
,grammar|ISM_ISHARA,ISM_ISHARA,nouns,Demonstrative noun,اسم الإشارة,"Pronoun used to point to something (this, that).","اسم يستخدم للإشارة إلى شيء مثل ""هذا"".",
,grammar|ISM_TAFDIL,ISM_TAFDIL,morphology,Comparative/superlative noun,اسم التفضيل,"Noun derived to indicate comparison or excellence (e.g., bigger, best).","اسم مشتق للدلالة على المفاضلة مثل ""أكبر"".",
,grammar|ISM_FAIL,ISM_FAIL,morphology,Active participle,اسم الفاعل,Derived noun representing the doer of an action.,اسم مشتق يدل على من قام بالفعل.,
,grammar|ISM_MAFUL,ISM_MAFUL,morphology,Passive participle,اسم المفعول,Derived noun representing the one affected by the action.,اسم مشتق يدل على من وقع عليه الفعل.,
,grammar|SIGHA_MUBALAGHA,SIGHA_MUBALAGHA,morphology,Intensive form,صيغة المبالغة,Exaggerated form of the active participle used for emphasis.,صيغة مشبهة لاسم الفاعل للدلالة على كثرة وقوع الفعل.,
,grammar|SIFA_MUSHABBAHA,SIFA_MUSHABBAHA,morphology,Resembling adjective,الصفة المشبهة,"Derived adjective resembling the active participle, often indicating a permanent attribute.",صفة مشتقة تشبه اسم الفاعل وتفيد ثبوت الصفة.,
,grammar|MUSHTAQ,MUSHTAQ,morphology,Derived noun,مشتق,Noun derived from a root to express additional meaning.,اسم مشتق من جذر لإفادة معنى زائد.,
,grammar|MASDAR,MASDAR,morphology,Verbal noun (masdar),مصدر,Infinitive form of a verb expressing action without tense.,الاسم الذي يدل على أصل الفعل دون تحديد زمن.,
,grammar|MUTHANNA,MUTHANNA,number,Dual,مثنى,Grammatical number indicating two.,يدل على اثنين.,
,grammar|JAMʿ,JAMʿ,number,Plural,جمع,Grammatical number indicating more than two.,يدل على أكثر من اثنين.,
,grammar|JAMʿ_TAKSIR,JAMʿ_TAKSIR,number,Broken plural,جمع التكسير,Plural formed by internal vowel or consonant changes.,جمع يتم بتغيير في بنية الكلمة.,
,grammar|JAMʿ_MUDHAKKAR_SALIM,JAMʿ_MUDHAKKAR_SALIM,number,Sound masculine plural,جمع مذكر سالم,Regular masculine plural formed by suffixes.,جمع يُصاغ بزيادة واو ونون أو ياء ونون.,
,grammar|JAMʿ_MUANNATH_SALIM,JAMʿ_MUANNATH_SALIM,number,Sound feminine plural,جمع مؤنث سالم,Regular feminine plural formed by suffixes.,جمع يُصاغ بزيادة ألف وتاء.,
,grammar|MUDHAKKAR,MUDHAKKAR,gender,Masculine,مذكر,Masculine gender.,الجنس المذكر.,
,grammar|MUANNATH,MUANNATH,gender,Feminine,مؤنث,Feminine gender.,الجنس المؤنث.,
,grammar|TADHKIR,TADHKIR,gender,Masculinisation,تذكير,Process of making a noun masculine.,جعل الاسم مذكراً.,
,grammar|TANIITH,TANIITH,gender,Feminisation,تأنيث,Process of making a noun feminine.,جعل الاسم مؤنثاً.,
,grammar|TA_MARBUTA,TA_MARBUTA,orthography,Tā’ marbūṭa,تاء مربوطة,Tied “tā” at the end of nouns marking feminine gender.,تاء تأتي في آخر الكلمة للدلالة على التأنيث.,
,grammar|FIʿL,FIʿL,verbs,Verb,فعل,Word denoting an action or occurrence.,كلمة تدل على حدث أو وقوع شيء.,
,grammar|FIʿL_MADI,FIʿL_MADI,tense,Past tense,الفعل الماضي,Verb expressing completed action.,فعل يدل على حدث وقع في الماضي.,
,grammar|FIʿL_MUDARIʿ,FIʿL_MUDARIʿ,tense,Present/future,الفعل المضارع,Verb expressing ongoing or future action.,فعل يدل على حدث يقع الآن أو في المستقبل.,
,grammar|FIʿL_AMR,FIʿL_AMR,tense,Imperative,فعل الأمر,Verb used to give commands.,فعل يستعمل للأمر.,
,grammar|AMR_TENSE,AMR_TENSE,tense,Imperative mood,الأمر,Mood used for commanding or requesting.,حالة فعلية تدل على طلب الفعل.,
,grammar|FIʿL_MABNI_LILMAJHUL,FIʿL_MABNI_LILMAJHUL,voice,Passive verb,الفعل المبني للمجهول,"Verb whose doer is not mentioned, emphasising the action or object.",فعل لا يذكر فاعله ويكون التركيز فيه على الفعل أو المفعول.,
,grammar|FIʿL_MABNI_LILMALUM,FIʿL_MABNI_LILMALUM,voice,Active verb,الفعل المبني للمعلوم,Verb whose doer is known and mentioned.,فعل يذكر فيه الفاعل ويكون معروفاً.,
,grammar|NAAIB_FAIL,NAAIB_FAIL,voice,Deputy doer,نائب الفاعل,Noun that assumes the subject role in a passive sentence.,الاسم الذي يقوم مقام الفاعل في الجملة المبنية للمجهول.,
,grammar|FAIL,FAIL,syntax_role,Doer (subject),الفاعل,The noun performing the action of a verb.,الاسم الذي يقوم بالفعل.,
,grammar|FIʿL_LAZIM,FIʿL_LAZIM,valency,Intransitive verb,الفعل اللازم,Verb that does not take a direct object.,فعل لا يتعدى فاعله إلى مفعول به.,
,grammar|FIʿL_MUTAʿADDI,FIʿL_MUTAʿADDI,valency,Transitive verb,فعل متعدٍّ,Verb that requires a direct object.,فعل يتعدى أثره إلى مفعول به.,
,grammar|MAFʿUL_BIH,MAFʿUL_BIH,syntax_role,Direct object (maf‘ūl bihi),مفعول به,Noun that receives the action of a transitive verb.,الاسم الذي يقع عليه الفعل.,
,grammar|MAFʿUL_MUTLAQ,MAFʿUL_MUTLAQ,syntax_role,Absolute object,مفعول مطلق,Verbal noun emphasising or explaining the verb action.,مصدر منصوب يؤكد معنى الفعل أو يبين نوعه وعدده.,
,grammar|MAFʿUL_LAHU,MAFʿUL_LAHU,syntax_role,Purpose object,مفعول له,Masdar indicating reason or purpose for the action.,مصدر منصوب يبين سبب وقوع الفعل.,
,grammar|MAFʿUL_FIH,MAFʿUL_FIH,syntax_role,Adverbial object ( ظرف ),المفعول فيه,Noun indicating time or place where the action occurs.,اسم يبين زمان وقوع الفعل أو مكانه.,
,grammar|MAFʿUL_MAʿAH,MAFʿUL_MAʿAH,syntax_role,Accompaniment object,المفعول معه,Noun that follows wāw al-maʿiyyah indicating accompaniment.,اسم منصوب يأتي بعد واو المعية للدلالة على المصاحبة.,
,grammar|ZARF,ZARF,syntax_role,Adverb (zarf),ظرف,Noun used as adverb of time or place.,اسم يدل على زمان أو مكان وقوع الفعل.,
,grammar|ZARF_ZAMAN,ZARF_ZAMAN,syntax_role,Time adverb,ظرف الزمان,Adverb indicating time when the action occurs.,اسم يحدد زمان وقوع الفعل.,
,grammar|ZARF_MAKAN,ZARF_MAKAN,syntax_role,Place adverb,ظرف المكان,Adverb indicating place where the action occurs.,اسم يحدد مكان وقوع الفعل.,
,grammar|AFʿAL_KHAMSA,AFʿAL_KHAMSA,verbs,The five verbs,الأفعال الخمسة,Present tense verbs ending with suffixes for dual and plural; the second person dual/plurals and third person dual.,صيغ من المضارع تلحق بها الألف والنون أو الواو والنون أو الياء والنون.,
,grammar|HAZF_NUN,HAZF_NUN,verbs,Dropping the nūn,حذف النون,Dropping the final “nūn” from the five verbs in certain moods.,حذف حرف النون من الأفعال الخمسة في حالتي الجزم والنصب.,
,grammar|THUBUT_NUN,THUBUT_NUN,verbs,Retaining the nūn,ثبوت النون,Keeping the final “nūn” in the five verbs when in the indicative mood.,بقاء حرف النون في الأفعال الخمسة في حالة الرفع.,
,grammar|BAB_LAFAʿLA,BAB_LAFAʿLA,morphology,Verb forms II–X,أبواب الأفعال المزيدة,Augmented patterns of triliteral verbs (Forms II through X).,الأوزان المزيدة للفعل الثلاثي مثل أفْعَل، فَعَّل، فاعل... إلخ.,
,grammar|THULATHI_MUJARRAD,THULATHI_MUJARRAD,morphology,Triliteral root (simple),الفعل الثلاثي المجرد,Verb with three root letters in the basic form.,فعل مكوَّن من ثلاثة أحرف أصلية دون زيادة.,
,grammar|THULATHI_MUJARRAD_GHAYR_SALIM,THULATHI_MUJARRAD_GHAYR_SALIM,morphology,Irregular simple triliteral,الفعل الثلاثي المجرد غير السالم,Basic triliteral verb containing weak letters or irregularities.,فعل ثلاثي مجرد يشتمل على حرف علة أو غيره.,
,grammar|THULATHI_MAZID,THULATHI_MAZID,morphology,Augmented triliteral,الفعل الثلاثي المزيد فيه,Triliteral verb with one or more extra letters (Forms II–X).,فعل ثلاثي أُضيفت إليه حروف للوزن.,
,grammar|THULATHI_MAZID_GHAYR_SALIM,THULATHI_MAZID_GHAYR_SALIM,morphology,Irregular augmented triliteral,الفعل الثلاثي المزيد فيه غير السالم,Augmented triliteral verb containing weak or irregular letters.,فعل ثلاثي مزيد وفيه حروف علة أو تشديد.,
,grammar|RUBAʿI,RUBAʿI,morphology,Quadriliteral verb,الفعل الرباعي,Verb with four original root letters.,فعل أصله أربعة أحرف.,
,grammar|AFʿAL_NAQISA,AFʿAL_NAQISA,verbs,Incomplete verbs (kana and sisters),الأفعال الناقصة,Verbs like “kana” that raise the subject and set the predicate in the accusative.,"أفعال ترفع المبتدأ وتنصب الخبر مثل ""كان وأخواتها"".",
,grammar|INNA_WA_AKHAWATUHA,INNA_WA_AKHAWATUHA,particles,Inna and its sisters,إن وأخواتها,Particles that introduce a nominal clause and cause the subject to be in the accusative.,"حروف ناسخة تنصب المبتدأ وترفع الخبر مثل ""إنَّ"".",
,grammar|AFʿAL_SHURUʿ,AFʿAL_SHURUʿ,verbs,Verbs of initiation,أفعال الشروع,"Verbs indicating beginning of an action (e.g., “jaʿala”, “akhatha”).","أفعال تدل على بدء الفعل مثل ""جعل"" و""أخذ"".",
,grammar|AFʿAL_MADH_DHAM,AFʿAL_MADH_DHAM,verbs,Verbs of praise and blame,أفعال المدح والذم,"Verbs used to praise or blame (e.g., “niʿma”, “bi’sa”).","أفعال تستخدم للمدح أو الذم مثل ""نِعْمَ"" و""بِئْسَ"".",
,grammar|FIʿL_MUʿTAL,FIʿL_MUʿTAL,morphology,Weak verb,الفعل المعتل,"Verb containing a weak letter (wāw, yāʾ or alif).",فعل يشتمل على حرف علة مثل الواو أو الياء أو الألف.,
,grammar|AJWAF,AJWAF,morphology,Hollow verb,الأجوف,Weak verb with a weak middle letter.,فعل معتل عينه حرف علة.,
,grammar|NAQIS,NAQIS,morphology,Defective verb,الناقص,Weak verb with a weak last letter.,فعل معتل آخره حرف علة.,
,grammar|MITHAL,MITHAL,morphology,Assimilated verb,المثال,Weak verb with a weak first letter.,فعل معتل أوله حرف علة.,
,grammar|MUDAʿʿAF,MUDAʿʿAF,morphology,Doubled verb,الفعل المضعّف,Verb whose middle or final radical is doubled (with shadda).,فعل فيه حرف مكرر مشدد.,
,grammar|MAHMUZ,MAHMUZ,morphology,Hamzated verb,الفعل المهموز,Verb containing hamza as one of the root letters.,فعل يشتمل على همزة في أصوله.,
,grammar|LAFIF_MAFRUQ,LAFIF_MAFRUQ,morphology,Separated double-weak verb,لفيف مفروق,Verb with two weak letters separated by another letter.,فعل فيه حرفا علة غير متجاورين.,
,grammar|LAFIF_MAQRUN,LAFIF_MAQRUN,morphology,Paired double-weak verb,لفيف مقرون,Verb with two consecutive weak letters.,فعل فيه حرفا علة متجاورين.,
,grammar|TAWABIʿ,TAWABIʿ,syntax,Followers (tawābiʿ),التوابع,"Words that follow another word in case, such as adjectives, appositives, etc.",كلمات تتبع غيرها في الإعراب مثل النعت والبدل والعطف.,
,grammar|TAWKID,TAWKID,syntax,Emphasis,التوكيد,Repetition or use of a word to emphasize a meaning.,تكرار أو استخدام كلمة لتقوية المعنى.,
,grammar|TAWKID_LITTAWABIʿ,TAWKID_LITTAWABIʿ,syntax,Emphasis as follower,التوكيد للتوابع,Emphasis that follows another word and shares its case ending.,كلمة تؤكد ما قبلها وتتبعها في الإعراب.,
,grammar|SIFA,SIFA,syntax,Adjective (sifa),صفة,"Word that describes a noun and agrees with it in gender, number and case.",كلمة تصف الاسم وتطابقه في الجنس والعدد والإعراب.,
,grammar|NAʿT,NAʿT,syntax,Adjective (naʿt),نعت,Another term for adjective modifying a noun.,مصطلح آخر للصفة يصف الاسم.,
,grammar|MAWSUF,MAWSUF,syntax_role,Described noun (mawṣūf),موصوف,The noun being described by an adjective.,الاسم الذي تُسند إليه الصفة.,
,grammar|BADAL,BADAL,syntax,Apposition (badal),البدل,Noun that replaces another noun and follows it in case.,اسم يتبع ما قبله في الإعراب ويحل محله.,
,grammar|BADAL_ISHTIMAL,BADAL_ISHTIMAL,syntax,Badal of inclusion,بدل الاشتمال,Apposition expressing an abstract or included aspect of the first noun.,بدل يدل على معنى ضمني في المبدَل منه.,
,grammar|BADAL_BAʿD_MIN_KULL,BADAL_BAʿD_MIN_KULL,syntax,Partitive badal,بدل البعض من الكل,Apposition where the second noun is part of the first.,بدل يكون فيه المبدَل جزءاً من المبدَل منه.,
,grammar|BADAL_SHAYʾ_MIN_SHAYʾ,BADAL_SHAYʾ_MIN_SHAYʾ,syntax,Complete replacement badal,بدل الشيء من الشيء,Apposition where the second noun is equivalent to the first.,بدل يكون فيه المبدَل مطابقاً تماماً للمبدَل منه.,
,grammar|MAʿTUF,MAʿTUF,syntax_role,Conjoined term (maʿṭūf),معطوف,Word following a conjunction and sharing the case of the first term.,كلمة تسبق بحرف عطف وتشارك ما قبلها في الإعراب.,
,grammar|NAFY,NAFY,discourse,Negation,النفي,The act of denying or negating a statement.,إبطال أو نفي معنى الكلام.,
,grammar|LA_NAFIYA,LA_NAFIYA,negation,“Lā” of simple negation,لا النافية,Particle “lā” used to negate present tense verbs or nouns.,أداة تنفي حدوث الفعل أو المعنى.,
,grammar|LA_NAFIY_LILJINS,LA_NAFIY_LILJINS,negation,Categorical negation “lā”,لا النافية للجنس,Particle used to negate the existence of any member of a class.,أداة تنفي وجود أي فرد من الجنس.,
,grammar|LA_NAHIYA,LA_NAHIYA,negation,Prohibitive “lā”,لا الناهية,Particle used to forbid or prohibit an action.,أداة تستخدم للنهي عن القيام بالفعل.,
,grammar|LAM_JUHUD,LAM_JUHUD,negation,Lām of strong negation,لام الجحود,The particle “lam” used after a negation to emphasise denial.,لام تأتي بعد نفي لتأكيد الجحود.,
,grammar|BALAGHA,BALAGHA,rhetoric,Rhetoric (balāgha),البلاغة,The art of eloquent and effective expression.,فن التعبير البليغ والمؤثر.,
,grammar|TASHBIH,TASHBIH,rhetoric,Simile (tashbīh),التشبيه,Figure of speech comparing two things using a particle of comparison.,بيان يقرن شيئاً بآخر بلفظ يدل على التشبيه.,
,grammar|ADAT_TASHBIH,ADAT_TASHBIH,rhetoric,Simile particle,أداة التشبيه,"Particle introducing the comparison (e.g., “ka-”, “ka’anna”).","أداة تدل على التشبيه مثل ""كـ"" أو ""كأن"".",
