ar_u_token,canonical_input,lemma_ar,lemma_norm,pos,root_norm,ar_u_root,features_json,meta_json,created_at,updated_at
7d94c69612e12f3402bad8533ef98bb362977d45bcd4170f3b94b27cf05c1aea,سفره|noun,سَفَرَة,سفره,noun,sfr|سفر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""80:15:2""}",2026-01-31 13:11:22,
64f8feac231a4f47bcb74b2973d7ef1f19ea587110037c71950ff780280e432c,قريش|noun,قُرَيْش,قريش,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""106:1:2""}",2026-01-31 13:11:22,
9539593c7e7b4c4821713e8d48561bb324809eb78596750215faa0f87f7f5f4e,اين|noun,أَيْن,اين,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""4:78:1""}",2026-01-31 13:11:22,
85e58aef08d57b40d71b96636ce6fb5c46cea2dfb41fdc6f30854ad0b70a0646,سعير|noun,سَعِير,سعير,noun,sEr|سعر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""84:12:2""}",2026-01-31 13:11:22,
4f150f65cbfcd97dee1f0ccd5ac602dc6fff5129212ad7d1f2535727bab3aa57,ادريس|noun,إِدْرِيس,ادريس,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""21:85:2""}",2026-01-31 13:11:22,
3514e88e9f5af3c04a5b9a2a05eee5f3b84cd1b1f15d9bfabc31e5fabfef6e90,سعرت|noun,سُعِّرَتْ,سعرت,noun,sEr|سعر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""81:12:3""}",2026-01-31 13:11:22,
f52189375ab60c86f57b3022df23b9d6d5cda4b11ca949a89613a5f39245d622,عدد|noun,عَدَد,عدد,noun,Edd|عدد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""23:112:6""}",2026-01-31 13:11:22,
894f86db133d076a789473b81d2ed460c763459dbd6a62e03ca74f5d4c505700,ننكس|noun,نُنَكِّسْ,ننكس,noun,nks|نكس,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""36:68:3""}",2026-01-31 13:11:22,
9e96ea253284824ec54e60f5b92b7581665a33cda4a27309d9d353cd4f434cb2,بيض|noun,بَيْض,بيض,noun,byD|بيض,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""37:49:2""}",2026-01-31 13:11:22,
a6f074a49521e21879151fd73b1769f5321a2dae5be64cb7d09dc1c6a5695daf,تدمير|noun,تَدْمِير,تدمير,noun,dmr|دمر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""25:36:9""}",2026-01-31 13:11:22,
41fd32ff12417e2ddf3eb1aea245d9a1d092987e72bc2f38bcd6aa2caa96ac09,هارون|noun,هَٰرُون,هارون,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""20:30:1""}",2026-01-31 13:11:22,
7675a2d3b39e902ad2d0918edbe510c9e8a733be9413743d0edbc07efe2b2f14,مكه|noun,مَكَّة,مكه,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""48:24:9""}",2026-01-31 13:11:22,
265a87f0b58726842977c93606616c025f54dfbe56339ec0c5633e3d2d90416b,خادع|noun,خَٰدِع,خادع,noun,xdE|خدع,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""4:142:6""}",2026-01-31 13:11:22,
eea68b8e62fafcd74caa64cf6fa5bb67d2bc88dd78f7a84e12745bb4134e161f,بعيد|noun,بَعِيد,بعيد,noun,bEd|بعد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""70:6:3""}",2026-01-31 13:11:22,
9e3aa582a453c64db5679bd1b4d0057ea874d9419c8bac204993b8c6ad886e25,وحي|noun,وَحْى,وحي,noun,wHy|وحي,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""21:45:4""}",2026-01-31 13:11:22,
1c18c88e9c60938b891fb487f25950a96daff3a9603e1b6ed44262b86d8c8a74,سقر|noun,سَقَر,سقر,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""74:26:2""}",2026-01-31 13:11:22,
e2c80c64b8e42120387cb6b6047eeb2f8093080c8a0721356380a03f4c0af965,فطر|noun,فَطَرَ,فطر,noun,fTr|فطر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""43:27:3""}",2026-01-31 13:11:22,
d8743ae4b1bc1bb00df176bdedb17f18b676aaf088503e854d42a5413198f9ca,قص|noun,قَصَّ,قص,noun,qSS|قصص,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""7:7:1""}",2026-01-31 13:11:22,
e8c2799e2df64201638bf9fd790af94febc665cbbb9d55f68e3a7f223c0f529e,نسفت|noun,نُسِفَتْ,نسفت,noun,nsf|نسف,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""77:10:3""}",2026-01-31 13:11:22,
3eb19cecda865599e33d7a1eb3fb87779a508139ea2fb500e965c1dca747f1fd,اسباط|noun,أَسْبَاط,اسباط,noun,sbT|سبط,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""7:160:4""}",2026-01-31 13:11:22,
3dd55267d9186e306e0c92beb4c93a624d0c39afaf138cdc6df8a5803e2b2d01,مرصوص|noun,مَّرْصُوص,مرصوص,noun,rSS|رصص,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""61:4:11""}",2026-01-31 13:11:22,
f27298d12879f56e8f29c93ebf0f7d0fd276a30d3194f453cb631ec32416c2f9,محصنين|noun,مُّحْصِنِين,محصنين,noun,HSn|حصن,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""4:24:19""}",2026-01-31 13:11:22,
a2760cebac3f2e136fae93be0e9b7a7ea099d8a407b393abac1fce085ba0f0e4,قاسيه|noun,قَٰسِيَة,قاسيه,noun,qsw|قسو,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""5:13:7""}",2026-01-31 13:11:22,
edd22104707d5ad2de14851e47c1054114a05b0c0735b8d05a67d444a2f154c1,انفطرت|noun,انفَطَرَتْ,انفطرت,noun,fTr|فطر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""82:1:3""}",2026-01-31 13:11:22,
76f86b1cd5af9135f4563b6b2afa6d0132a92c0255bc1773fe58d644b1f8ae7a,ابراهيم|noun,إِبْرَاهِيم,ابراهيم,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""11:76:1""}",2026-01-31 13:11:22,
71a857e62c73bb2cf8a2e02a664a222f7a16dc4c943e965817acf3ed66bed5b1,صايمات|noun,صَّٰٓئِمَٰت,صايمات,noun,Swm|صوم,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""33:35:17""}",2026-01-31 13:11:22,
cee9daf13aca252abfcfc4a5d3f64f9df2890a2ac9aea81ef6d7b416270204af,ساخرين|noun,سَّٰخِرِين,ساخرين,noun,sxr|سخر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""39:56:14""}",2026-01-31 13:11:22,
4793dfa7b4595dd2fc05b5efba86d9740ea81440b134adf1be96a66157ffcd4b,اللات|noun,اللَّٰت,اللات,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""53:19:2""}",2026-01-31 13:11:22,
8377037edae9ec176ff07ad7a0a56b1e17360378afa20d12af4f35050f8e8130,حسير|noun,حَسِير,حسير,noun,Hsr|حسر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""67:4:10""}",2026-01-31 13:11:22,
10f4621a639c4935497cd4d0f20df6748a0363dc19884aa2b9dbeee661871f83,وتر|noun,وَتْر,وتر,noun,wtr|وتر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""89:3:2""}",2026-01-31 13:11:22,
b66e94e5542ae717bafef9f25ade8261a5d936cf04f0857fd6528ab3a9df6e38,هاتين|noun,هَٰتَيْن,هاتين,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""28:27:8""}",2026-01-31 13:11:22,
58bff1dd05319d704768aecee7dea73b90035a34cd764c39d94275189b0ebefb,سهول|noun,سُهُول,سهول,noun,shl|سهل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""7:74:13""}",2026-01-31 13:11:22,
9a44b0499dc134fa978739c31af50a3a1e520c3c64f05544077fe51dc1eb606a,مدحور|noun,مَّدْحُور,مدحور,noun,dHr|دحر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""7:18:5""}",2026-01-31 13:11:22,
1a7556c08416eac14237669f057147f7ce7a9876e580c09f6ae88d5984f50174,لدي|noun,لَدَي,لدي,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""73:12:2""}",2026-01-31 13:11:22,
a2dd5c74e380f8d87c9845cd150c293b48e0a747bc1e4d1823cf3c2707660ef2,قارون|noun,قَٰرُون,قارون,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""29:39:1""}",2026-01-31 13:11:22,
5cb5794a3f8f90514608a11a0533b2c9aac6e35fc208eaa4bd7e2ed3b32c341e,داود|noun,دَاوُد,داود,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""21:78:1""}",2026-01-31 13:11:22,
991e9e03fb530a84d2aeac364c15f4f4e3f331024d9ebb4783d72e7363c224c8,رواكد|noun,رَوَاكِد,رواكد,noun,rkd|ركد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""42:33:6""}",2026-01-31 13:11:22,
965e9d69d93883a67224697baafb1a759f13ea66ee9f22f56046c3cadae5c454,لظي|noun,لَظَىٰ,لظي,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""70:15:3""}",2026-01-31 13:11:22,
f33cc098bbe3cc0b2c5659297ea1d74b98368050f871bf260a566ba3456eb6fb,تابع|noun,تَابِع,تابع,noun,tbE|تبع,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""2:145:13""}",2026-01-31 13:11:22,
71e4495df05b4db94cd8be46fe3826f12a32b1bc05427b38fe2f86b83c432883,تبع|noun,تَبَع,تبع,noun,tbE|تبع,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""14:21:11""}",2026-01-31 13:11:22,
853fae89d43a4945c44f3d3043cc0d64d175ce3bb21a93a8a1bb3dc9d7995f49,يحض|noun,يَحُضُّ,يحض,noun,HDD|حضض,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""69:34:2""}",2026-01-31 13:11:22,
1cc2298387298a9fdac8f41dfe42f6c3528689a08a7a4bfc1f101e75946ead59,من|noun,مِن,من,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""14:16:1""}",2026-01-31 13:11:22,
e21f9ee7ed63dd4ba477fe5b8c4f0c45853b3dbf2e0227f73eeb977e1d095f4e,مسافحين|noun,مُسَٰفِحِين,مسافحين,noun,sfH|سفح,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""4:24:21""}",2026-01-31 13:11:22,
2409849eaf2253269b678b6e7b971a680b2dac3284ee73785f75d8c29d5c5700,احوي|noun,أَحْوَىٰ,احوي,noun,Hwy|حوي,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""87:5:3""}",2026-01-31 13:11:22,
ce2d5294df4bee7aeae68d13d40636f201addfbb54a07a1663f36b276309cf66,توريه|noun,تَّوْرَىٰة,توريه,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""5:44:3""}",2026-01-31 13:11:22,
6e9f60ba85c0c3142cb0580b6ba288a69d41f7200fac88d2b5088fd2489570f5,سلوي|noun,سَّلْوَىٰ,سلوي,noun,slw|سلو,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""2:57:7""}",2026-01-31 13:11:22,
1901f433dc30b0ad9187e39112275c661c76a4c58dafbd41f982294552b91683,زيد|noun,زَيْد,زيد,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""33:37:28""}",2026-01-31 13:11:22,
875518c47a9f25153fea02dec1a712a63a6f8e3d71c62aefef897cf82aa1a698,مهجور|noun,مَهْجُور,مهجور,noun,hjr|هجر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""25:30:9""}",2026-01-31 13:11:22,
2d14dbbdc9cd6763f030fe165fcec5db8b6af04692a018bec042e780af77bc16,برزخ|noun,بَرْزَخ,برزخ,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""55:20:2""}",2026-01-31 13:11:22,
2d1024f0e5584ba723d1b03a6a4a6779f61ffed9b3b1b5760757746331369a61,مارد|noun,مَّارِد,مارد,noun,mrd|مرد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""37:7:5""}",2026-01-31 13:11:22,
0613abb4075d8c90d54a7ce23e857f8ecca40fc8bb8448db5a95320af8ceaa50,ناصر|noun,نَاصِر,ناصر,noun,nSr|نصر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""86:10:6""}",2026-01-31 13:11:22,
ad1a09ceb1f7112051d6ccfb5e047895ee6f448a93838ee63824580c76cac8e2,ممرد|noun,مُّمَرَّد,ممرد,noun,mrd|مرد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""27:44:15""}",2026-01-31 13:11:22,
c8a1db8c08446258b235033951d3624e3c6e7d453f287b2d6233e89c9dcc1ca9,ظهيره|noun,ظَّهِيرَة,ظهيره,noun,Zhr|ظهر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""24:58:23""}",2026-01-31 13:11:22,
083050668daeb2abad9886e382496d1e81fb85bd96cce123973fa841c21e0b6f,هنا|noun,هُنَا,هنا,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""26:146:4""}",2026-01-31 13:11:22,
270056f11d5a3a083ad6cc51d613335a36b112a32ed6622c9f46a03fd43bed42,تشطط|noun,تُشْطِطْ,تشطط,noun,$TT|شطط,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""38:22:19""}",2026-01-31 13:11:22,
42d26a953135eda830283e9fb09d0658b4e9eb29e615467bd47a61d6b4cd3742,يقتر|noun,يَقْتُرُ,يقتر,noun,qtr|قتر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""25:67:7""}",2026-01-31 13:11:22,
b9ef27a2d841fb1a73c884ea55980dc1de4e0eadbd47cd641e7aaf648526a35a,قصم|noun,قَصَمْ,قصم,noun,qSm|قصم,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""21:11:2""}",2026-01-31 13:11:22,
9de308a95133f47d44d25c9d04d0daba72eaea4af66d94d18709e6ce149f9cb2,يصل|noun,يَصِلُ,يصل,noun,wSl|وصل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""13:21:2""}",2026-01-31 13:11:22,
d77c56de788f6ca989d33c1b53ba7134f42667ac841385db10dcf94da15e217e,حطام|noun,حُطَٰم,حطام,noun,HTm|حطم,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""56:65:4""}",2026-01-31 13:11:22,
6f6fac082879560fe35d43d1f03cfd2e182e5d578b586516e819356435fd2a06,ايا|noun,إِيَّا,ايا,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""1:5:1""}",2026-01-31 13:11:22,
606af52d78cf14eb605affd394a35feee464de9b19a49d1692a690e983638473,تبتيل|noun,تَبْتِيل,تبتيل,noun,btl|بتل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""73:8:6""}",2026-01-31 13:11:22,
e171206771fc73fc290ed04201fa12b30adaf8490a60f4c36cd6b0b0df256d83,اولاء|noun,أُولَآء,اولاء,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""3:119:2""}",2026-01-31 13:11:22,
2c3d5c792d90b420e25d540807cb164a3353227144f93467674be1eb30acc1d2,باسره|noun,بَاسِرَة,باسره,noun,bsr|بسر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""75:24:3""}",2026-01-31 13:11:22,
161d8b9c05cfbae2acca5aaff7b0da6d1450926dd7cd2ad8069fc70fcf426247,سير|noun,سَيْر,سير,noun,syr|سير,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""52:10:3""}",2026-01-31 13:11:22,
37f17893bc241eed1271c3f3fcf9493a2fd18baaf14125a284a4b208062541c4,هاذا|noun,هَٰذَا,هاذا,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""95:3:1""}",2026-01-31 13:11:22,
003440559b0ac27c91eee5696e40bea6ae42bd60e5cd8155801b36638f132bb6,قتور|noun,قَتُور,قتور,noun,qtr|قتر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""17:100:14""}",2026-01-31 13:11:22,
78dbc6a1a914d1118349487cc57670fcd7db355b8b2ab2de3e724384ff8be031,مدرار|noun,مِّدْرَار,مدرار,noun,drr|درر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""71:11:4""}",2026-01-31 13:11:22,
46b95618ebd1b01b067ec9ab2a590fad564e44c11187a03b41bf6215401dbc3f,مسحور|noun,مَّسْحُور,مسحور,noun,sHr|سحر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""15:15:8""}",2026-01-31 13:11:22,
5335b1a561220ad10a0d674454b80ec7cf771e909b92b42393419bd049f38d20,طل|noun,طَلّ,طل,noun,Tll|طلل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""2:265:23""}",2026-01-31 13:11:22,
106d674603e979bb1398e633e9a6738810650a38044a06ca846b43fb61de0e34,سخري|noun,سِخْرِيّ,سخري,noun,sxr|سخر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""23:110:2""}",2026-01-31 13:11:22,
64ddd7b83c4f75e1a17786e277f80777c5bec486ad9befeab2457804972672f3,عضين|noun,عِضِين,عضين,noun,EDw|عضو,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""15:91:4""}",2026-01-31 13:11:22,
dc197ec8f507b8bd8477d068661448166b57d0a31a9a228b3ba10bea4130e998,مفروض|noun,مَّفْرُوض,مفروض,noun,frD|فرض,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""4:118:8""}",2026-01-31 13:11:22,
20d03bf26446ce754c5d96a5dcf4533386aa24d6eda92e53f70010ef5d9d6b26,تبتل|noun,تَبَتَّلْ,تبتل,noun,btl|بتل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""73:8:4""}",2026-01-31 13:11:22,
c2896f42288d77f1d360b7cdd895a7d0cfec9251423aefa0da1e3572a1eba931,ابسل|noun,أُبْسِلُ,ابسل,noun,bsl|بسل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""6:70:13""}",2026-01-31 13:11:22,
c712ac41f9bd19e02bc7857fb87092696714a14871816a24943dc22efd969bd6,حصد|noun,حَصَد,حصد,noun,HSd|حصد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""12:47:7""}",2026-01-31 13:11:22,
377b851062a095e238acf8ca7ef49dac58f393adec10301a51d6cac1c40816fa,فرح|noun,فَرِحَ,فرح,noun,frH|فرح,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""9:81:1""}",2026-01-31 13:11:22,
5edef54557979508146d13e0c81fcc8d8d5bcbbbed56c50c9c3c66216f8a4129,قست|noun,قَسَتْ,قست,noun,qsw|قسو,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""2:74:2""}",2026-01-31 13:11:22,
0e23925fc16ad293720442933cd444201eb0cbbe10b4920c007db25a926d216a,سوف|noun,سَوْف,سوف,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""93:5:1""}",2026-01-31 13:11:22,
997bb8e195574844c62dca9675ae3ef9c99643d20829438923ff9a4e44064df9,اسرع|noun,أَسْرَع,اسرع,noun,srE|سرع,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""6:62:11""}",2026-01-31 13:11:22,
4aea2fe14c217ca088c0088cbb2ec04bc6f892e2778df1d9f6f6939d2e890a52,يغوث|noun,يَغُوث,يغوث,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""71:23:11""}",2026-01-31 13:11:22,
d93e3ac97db129a9d676f0f71da1a582f9bfeccef4e6e40828fe93fab141aaf5,حنين|noun,حُنَيْن,حنين,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""9:25:8""}",2026-01-31 13:11:22,
def36bf2794f9cca680a10c282b2462895d509f4917d652904ab5d7b6cdd54b0,صوت|noun,صَوْت,صوت,noun,Swt|صوت,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""49:3:4""}",2026-01-31 13:11:22,
5da0f49b7532cfd06d11f21b84d2bb59b2d4e5dcc25fb0855d519ed7fa6db8b0,اولايك|noun,أُولَٰٓئِك,اولايك,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""3:87:1""}",2026-01-31 13:11:22,
5e11bd0138a2311d35bd96067aa4fcd85aecd50bc3cf9c0d1651668db862e9f8,قد|noun,قَد,قد,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""7:10:1""}",2026-01-31 13:11:22,
f6707c5f90140916b7301a52a7ceb0b9b7f62285cf08e5e6e6edf6dca2b91582,سدره|noun,سِدْرَة,سدره,noun,sdr|سدر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""53:14:2""}",2026-01-31 13:11:22,
82f82f7d89dbf9c9c7a98e65f6ced5bb8abe8f6c8e504bda4cc3098deffe13fa,سبحان|noun,سُبْحَٰن,سبحان,noun,sbH|سبح,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""37:159:1""}",2026-01-31 13:11:22,
6757197d53d664823deffd2f9dc7658c181075124495f88d3c0f76ba05a824fd,ابتر|noun,أَبْتَر,ابتر,noun,btr|بتر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""108:3:4""}",2026-01-31 13:11:22,
e3b36328572e0fb6b2acae1e027a9e12abd1301e527e4f8aed2afd8afbf12470,عادين|noun,عَآدِّين,عادين,noun,Edd|عدد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""23:113:8""}",2026-01-31 13:11:22,
2d1fcb705a83fde741d09d29eb0118b7518e2377bbc20b9d3e662fb167b783e8,صفا|noun,صَّفَا,صفا,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""2:158:2""}",2026-01-31 13:11:22,
b95dcca076817b0002d477bbfe0eed975c215fd6b526bed8ca82d4ab97dc3de9,ابيض|noun,أَبْيَض,ابيض,noun,byD|بيض,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""37:46:1""}",2026-01-31 13:11:22,
6116db218465e93928d717fe1ab37514b63863c1919c02fd7c53eae8af7f1d28,صعيد|noun,صَعِيد,صعيد,noun,SEd|صعد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""18:8:5""}",2026-01-31 13:11:22,
4dec96237c19020301e6b01e9ace81c5e210f0c8228a41502237eddc4c7f75a9,سدر|noun,سِدْر,سدر,noun,sdr|سدر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""56:28:2""}",2026-01-31 13:11:22,
ef2261b78ea34603a098b01a276d3f009b3491f558fd0a034ad38d6769d28dd4,مسافحات|noun,مُسَٰفِحَٰت,مسافحات,noun,sfH|سفح,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""4:25:31""}",2026-01-31 13:11:22,
ed4e700f2f4ae62b9b09793e57d3fb6246afd5bb8a722d8455fcf13c28da92f7,صهر|noun,صِهْر,صهر,noun,Shr|صهر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""25:54:9""}",2026-01-31 13:11:22,
2abee8fd2a7b51a44ccc8e34a0b004906b888bff740d952d2a011df34c72191c,ناصيه|noun,نَاصِيَة,ناصيه,noun,nSy|نصي,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""96:16:1""}",2026-01-31 13:11:22,
a545c5c57ce66a51ce8dea7ebd3d1d3f96039feb3e0552f91d0577a490d090cd,طامه|noun,طَّآمَّة,طامه,noun,Tmm|طمم,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""79:34:3""}",2026-01-31 13:11:22,
651798669f4e5530e2032ae30efa935689506361e8f534258c82cc6b83f4c21d,حصاد|noun,حَصَاد,حصاد,noun,HSd|حصد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""6:141:25""}",2026-01-31 13:11:22,
9e1da4a2af80b62185ca5ba8c99c9122657f6c59a3ca255ea58f64f183ac637a,يعقوب|noun,يَعْقُوب,يعقوب,noun,,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""29:27:4""}",2026-01-31 13:11:22,
1af6819128d72b3787bf68a90926642d48a6b8c2f7f5e84eacbc9608d4e628ca,حاد|noun,حَآدَّ,حاد,noun,Hdd|حدد,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""9:63:5""}",2026-01-31 13:11:22,
eedfe9885b1c55354cc0d2f0fe249ad406fd681ec3f133231c1469bfc99bddec,يصم|noun,يَصُمْ,يصم,noun,Swm|صوم,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""2:185:17""}",2026-01-31 13:11:22,
a8a1fccd0335e0492d97c692b4b79afcc14d11249fdc4f9e1eba3028aef57554,وصل|noun,وَصَّلْ,وصل,noun,wSl|وصل,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""28:51:2""}",2026-01-31 13:11:22,
2b9639317a5dcbbf70b6de4b05aa76d758971477f751fc51ca986094cfde6f99,ظهر|noun,ظَهَرَ,ظهر,noun,Zhr|ظهر,,,"{""source"": ""qul_word_lemma"", ""word_location"": ""30:41:1""}",2026-01-31 13:11:22,
