id,topic,topic_ur,word_ar,word_en,root,root_ar,ref_surah,ref_ayah,ref
A29,To do something slowly,آہستہ آہستہ [کرنا],اِسْتِدْرَاجْ,Is’tidraaj,,,,,
A29,To do something slowly,آہستہ آہستہ [کرنا],دَلَّى,Dallaa,,,,,
AA1,"To boil, to rage",ابلنا [جوش مارنا],غَلَى,Ghalaa,,,,,
AA1,"To boil, to rage",ابلنا [جوش مارنا],نَضَخَ,Nadakha,,,,,
AA1,"To boil, to rage",ابلنا [جوش مارنا],فَارَ,Faara,,,,,
AA2,Protrude,ابھار,كَعْب,Ka’ab,,,,,
AA2,Protrude,ابھار,حَدْب,Had’b,,,,,
AA2,Protrude,ابھار,أمْت,Am’t,,,,,
AA2,Protrude,ابھار,نَجْد,Naj’d,,,,,
AA2,Protrude,ابھار,سَمْك,Sam’k,,,,,
AA3,To Encourage,ابھارنا,حَرَّضَ,Harrada,,,,,
AA3,To Encourage,ابھارنا,حَضَّ,Hadda,,,,,
AA3,To Encourage,ابھارنا,حَثَّ,Hath’tha,,,,,
AA3,To Encourage,ابھارنا,أزَّ,Az’za,,,,,
AA3,To Encourage,ابھارنا,جَرَم,Jarama,,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,نَزَلَ,Nazala,,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,نَزَّلَ,Nazzala,,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,أَنْزَلَ,An’zala,,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,تَنَزَّلَ,Tanazzala,,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,حَلَّ(أَحَلَّ),Halla(A’halla),,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,هَبَطَ,Habata,,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,وَضَعَ,Wada’a,,,,,
AA4,"To descend, to reveal, come down",اتارنا- اترنا,خَلَعَ,Khala’a,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,فَرِحَ,Fariha,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,بَطَرَ,Batara,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,مَرَحَا,Maraha,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,اِخْتَالَ(خيل),Ihk’tala(khayl),,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,فَخَرَ,Fakhara,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,أَشَرَ,Ashara,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,تَمَطَّىَ,Tamat’taa,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,تَكَبَّرَ,Takab’bara,,,,,
AA5,To be boastful/arrogant,اترانا – تکبر کرنا,فَرِهَ,Fariha,,,,,
AA6,To invent stories/slander,اٹکل پچو [من گھڑت]باتیں کرنا,خَرَصَ,Kharasa,,,,,
AA6,To invent stories/slander,اٹکل پچو [من گھڑت]باتیں کرنا,اِخْتَلَقَ,Ikh’talaqa,,,,,
AA6,To invent stories/slander,اٹکل پچو [من گھڑت]باتیں کرنا,اِفْتَرى,Iff’tara,,,,,
AA6,To invent stories/slander,اٹکل پچو [من گھڑت]باتیں کرنا,تَقَوَّلَ,Taqawwala,,,,,
AA7,"To carry,",اٹھانا,حَمَلَ,Hamala,,,,,
AA7,"To carry,",اٹھانا,نَاءَ(نوء),Naa’a(Naw’a),,,,,
AA7,"To carry,",اٹھانا,وَزَرَ,Wazara,,,,,
AA7,"To carry,",اٹھانا,اَثَار(ثور),Athaara(Thawr),,,,,
AA7,"To carry,",اٹھانا,أقَلَّ,Aqalla,,,,,
AA7,"To carry,",اٹھانا,بَعَثَ,Ba’a’tha,,,,,
AA7,"To carry,",اٹھانا,أَنْشَرَ,An’shara,,,,,
AA7,"To carry,",اٹھانا,أَنْشَزَ,An’shaza,,,,,
AA7,"To carry,",اٹھانا,لَقَطَ-لَقَحَ,Laqata-Laqaha,,,,,
AA8,To get up,اٹھنا,اِنْبَعَثَ,In’ba’a’tha,,,,,
AA8,To get up,اٹھنا,نَشَرَ,Nashara,,,,,
AA8,To get up,اٹھنا,نَشَزَ,Nashaza,,,,,
AA8,To get up,اٹھنا,قَامَ,Qaama,,,,,
AA9,To get permission,اجازت لینا,اِسْتَأْذَنَ-أَذِنَ,Iss’ta’a’thana-Athina,,,,,
AA9,To get permission,اجازت لینا,اَسْتَأْنَسَ,Iss’ta’anasa,,,,,
AA10,"Obstinate, stubborn",اجڈ,عُتُلّ,Utull,,,,,
AA10,"Obstinate, stubborn",اجڈ,فَظّ,Fazz,,,,,
AA10,"Obstinate, stubborn",اجڈ,أَعْرَابْ,Aa’raab,,,,,
AA11,Suddenly,اچانک,إِذ-إِذَن,Eth-Ethan,,,,,
AA11,Suddenly,اچانک,بَغْتَةً,Bagh’tah,,,,,
AA12,"Very good, better",اچھا خوب بہتر,نِعْمَ,Ni’ema,,,,,
AA12,"Very good, better",اچھا خوب بہتر,خَيْر,Khayr,,,,,
AA12,"Very good, better",اچھا خوب بہتر,حَسُنَ,Hasuna,,,,,
AA12,"Very good, better",اچھا خوب بہتر,اَمْثَل-مُثْلَى,Am’thal-Muth’laa,,,,,
AA12,"Very good, better",اچھا خوب بہتر,جَمِيلْ,Jameel,,,,,
AA13,To be strange,اچنبھا [اجنبی ہونا],نَكِرَ,Nakira,,,,,
AA13,To be strange,اچنبھا [اجنبی ہونا],عَجَبَ,Ajaba,,,,,
AA13,To be strange,اچنبھا [اجنبی ہونا],جُنُبْ,Junub,,,,,
AA14,To do a favour,احسان کرنا,فَضَّلَ,Faddala,,,,,
AA14,To do a favour,احسان کرنا,مَنَّ,Manna,,,,,
AA14,To do a favour,احسان کرنا,أَنْعَمَ,An’ama,,,,,
AA14,To do a favour,احسان کرنا,أَحْسَنَ,Ahsana,,,,,
AA15,To have power,اختیار [رکھنا],خِيَرَةْ,Khiyarah,,,,,
AA15,To have power,اختیار [رکھنا],مَلْك,Malk,,,,,
AA15,To have power,اختیار [رکھنا],وَلاَيَة,Walaayah,,,,,
AA15,To have power,اختیار [رکھنا],أَمْكَنَ,Amkana,,,,,
AA16,"To choose, select",اختیار کرنا,اِسْتَحَبَّ,Iss’tahabba,,,,,
AA16,"To choose, select",اختیار کرنا,تَحَرَّى(حرو),Taharraa(Harw),,,,,
AA17,Debt/credit,ادھار,قَرْض,Qard,,,,,
AA17,Debt/credit,ادھار,دَينْ,Dayn,,,,,
AA18,To intend,ارادہ کرنا[قصد کرنا],أَرَادَ,Araada,,,,,
AA18,To intend,ارادہ کرنا[قصد کرنا],عَزَمَ,Azama,,,,,
AA18,To intend,ارادہ کرنا[قصد کرنا],أَبْرَمَ,Ab’rama,,,,,
AA18,To intend,ارادہ کرنا[قصد کرنا],هَمَّ,Hamma,,,,,
AA18,To intend,ارادہ کرنا[قصد کرنا],أمّ,Amm,,,,,
AA18,To intend,ارادہ کرنا[قصد کرنا],تَيَمَّمَ(يم),Tayam’mam(yam),,,,,
AA18,To intend,ارادہ کرنا[قصد کرنا],تَحَرَّى,Taharra,,,,,
AA19,To persist,اڑنا,أَصَرَّ,Assarra,,,,,
AA19,To persist,اڑنا,مَرَدَ,Marada,,,,,
AA19,To persist,اڑنا,لَجَّ,Lajja,,,,,
AA20,"To fly, to make fly",اڑنا اڑانا,طَارَ-اِسْتَطَار,Taara-isstataar,,,,,
AA20,"To fly, to make fly",اڑنا اڑانا,أَذْرَى,Ath’raa,,,,,
AA20,"To fly, to make fly",اڑنا اڑانا,نَسَفَ,Nasafa,,,,,
AA21,To indicate,اشارہ کرنا,أَشَارَ,A’shaara,,,,,
AA21,To indicate,اشارہ کرنا,رَمَزَ,Ramaza,,,,,
AA21,To indicate,اشارہ کرنا,تَغَامَزَ,Ta’ghaamaza,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,تَبِعَ,Tabiaa,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,اِقْتِدَاء,Iq’tidaa’a,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,أُسْوَة,Uss’wah,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,أَطَاعَ,Ataa’aa,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,اَسْتَجَابَ,Iss’tajaaba,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,أَسْلَمَ,Asslama,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,قَنَتَ,Qanata,,,,,
AA22,Obedience,اطاعت وتابعداری پیروی- فرمانبرداری,ذَعَنَ,Tha’a’na,,,,,
AA23,Middle Path/Balanced/Moderation,اعتدال,عَرَّضَ,Arr’rada,,,,,
AA23,Middle Path/Balanced/Moderation,اعتدال,قَصْد,Qassd,,,,,
AA23,Middle Path/Balanced/Moderation,اعتدال,وَسَطْ,Wasat,,,,,
AA23,Middle Path/Balanced/Moderation,اعتدال,تَقْوِيمْ,Taq’weem,,,,,
AA24,The book of deeds,اعمال نامہ,طَائِر,Taa’er,,,,,
AA24,The book of deeds,اعمال نامہ,قِطّ,Qitt,,,,,
AA24,The book of deeds,اعمال نامہ,كِتَابْ,Kitaab,,,,,
AA24,The book of deeds,اعمال نامہ,صُحُف,Suhuff,,,,,
AA25,"Remorse,  regret",افسوس,وَيْل,Wayl,,,,,
AA25,"Remorse,  regret",افسوس,لَيْتَ,Layta,,,,,
AA25,"Remorse,  regret",افسوس,أَسَفَى,Asafa,,,,,
AA25,"Remorse,  regret",افسوس,أَسَىَ,Asaa,,,,,
AA26,To give authority,اقتدار بخشنا,مَكَّنَ,Makkana,,,,,
AA26,To give authority,اقتدار بخشنا,اِسْتَخْلَفَ,Iss’takh’lafa,,,,,
AA27,"To acknowledge,  admit",اقرار کرنا,أَقَرَّ,Aqarra,,,,,
AA27,"To acknowledge,  admit",اقرار کرنا,اِعْتَرَفَ,Ee’tarafa,,,,,
AA27,"To acknowledge,  admit",اقرار کرنا,شَهِدَ,Shahida,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,جَمَعَ,Jama’aa,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,اِجْتَمَعَ,Ij’tama’aa,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,حَشَرَ,Hashara,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,اِدَّخَرَ,Iddakhara,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,خَزَنَ,Khazana,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,وَسَقَ-اِتَّسَقَ,Wasaq-Ittasaq,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,كَفَتَ,Kafata,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,لَمَّ,Lamma,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,حَصَّلَ,Hass’sala,,,,,
AA28,"To gather,   assemble",اکٹھا کرنا,مَثَابَةً,Mathaabah,,,,,
AA29,"To uproot,    uproot",اکھاڑنا-اکھڑنا,اِجْتَثَّ,Ij’that’tha,,,,,
AA29,"To uproot,    uproot",اکھاڑنا-اکھڑنا,اِنْقَعَرَ,Inqa’aara,,,,,
AA30,One,اکیلا,أَحَدْ,Ahad,,,,,
AA30,One,اکیلا,وَحِيدْ,Waheed,,,,,
AA30,One,اکیلا,فَرْد,Farrd,,,,,
AA30,One,اکیلا,فُرَادَى,Furaadaa,,,,,
AA31,If,اگر,إِنْ,In,,,,,
AA31,If,اگر,إِمَّا,Imma,,,,,
AA31,If,اگر,لَوْ,Law,,,,,
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,أَرْكَسَ,Arrkasa,,,,,
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,اِئتَفَكَ,Ee’tafaka,,,,,
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,جَثَمَ,Jathama,,,,,
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,كَبَّ,Kabba,,,,,
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,كَبْكَبَ,Kab’kaba,,,,,
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,قَلَّبَ-تَقَلَّبَ,Qallaba-Taqallaba,,,,,
AA32,To turn over,الٹ دینا-اوندھا کرنا-ہونا,نَكَسَ-نَكَّسَ,Nakasa-Nakkasa,,,,,
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا,فَرَقَ,Faraqa,,,,,
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا,فَتَقَ,Fataqa,,,,,
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا,عَزَلَ,Azala,,,,,
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا,جَنَبَ,Janaba,,,,,
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا,مَازَ(مَيز),Maaza(Mayz),,,,,
AA33,"To separate, to detatch",الگ[ جدا یا علحیدہ] کرنا,زَيَّلَ,Zayyala,,,,,
AA34,To separate,الگ ہونا,تَفَرَقَ,Tafarraqa,,,,,
AA34,To separate,الگ ہونا,اِعْتَزَلَ,Ee’tazala,,,,,
AA34,To separate,الگ ہونا,تَجَنَّبَ,Tajannaba,,,,,
AA34,To separate,الگ ہونا,اِمْتَازَ,Im’taaza,,,,,
AA34,To separate,الگ ہونا,تَزَيَّلَ,Tazayyala,,,,,
AA34,To separate,الگ ہونا,خَلاَ,Khalaa,,,,,
AA34,To separate,الگ ہونا,خَلَصَ,Khalasa,,,,,
AA34,To separate,الگ ہونا,فَصَلَ,Fasala,,,,,
AA34,To separate,الگ ہونا,اِنْتَبَذَ,In’tabatha,,,,,
AA34,To separate,الگ ہونا,تَجَافَىَ(جفو),Tajaafa(Jafu),,,,,
AA35,To hope,امید    لگانا     امید لگانا,أَمَلَ,Amala,,,,,
AA35,To hope,امید    لگانا     امید لگانا,مَتَى,Mataa,,,,,
AA35,To hope,امید    لگانا     امید لگانا,رَجَأ(رجو),Raja’a(Rajw),,,,,
AA36,Intestines,انٹریاں,حَوَايَا,Hawaayaa,,,,,
AA36,Intestines,انٹریاں,أَمْعَاء,Am’aa’a,,,,,
AA37,To await,انتظار کرنا,اِنْتَظَرَ,In’tazara,,,,,
AA37,To await,انتظار کرنا,تَرَقَّبَ,Taraq’qaba,,,,,
AA37,To await,انتظار کرنا,تَرَبَّصَ,Tarab’basa,,,,,
AA38,End Result/Consequence,انجام [کار],مُنْتَهَى,Muntahaa,,,,,
AA38,End Result/Consequence,انجام [کار],عَاقِبَة,Aaa’qibah,,,,,
AA38,End Result/Consequence,انجام [کار],مَصِيرْ,Maseer,,,,,
AA39,To estimate,andaza lagana,,,,,,,
AA40,Inside,andar,,,,,,,
AA41,Blind,اندھا,أَعْمَى,Aa’maa,,,,,
AA41,Blind,اندھا,أَكْمَه-كَمِهَ,Ak’mah-Kamih,,,,,
AA42,Justice(to do justice),انصاف[کرنا],قِسْط-عَدْل,Qist-Ad’l,,,,,
AA43,"To refute, to refuse",انکار کرنا,أَبَى,Abaa,,,,,
AA43,"To refute, to refuse",انکار کرنا,أَنْكَرَ,An’kara,,,,,
AA43,"To refute, to refuse",انکار کرنا,جَحَدَ,Jahada,,,,,
AA43,"To refute, to refuse",انکار کرنا,كَفَرَ,Kafara,,,,,
AA44,Fingers,انگلیاں,أَصَابِعْ,Asaabi’e,,,,,
AA44,Fingers,انگلیاں,أَنَامِلْ,Anaamil,,,,,
AA45,To cover,اوڑھنا,اِسْتَغْشَى,Isstagh’shaa,,,,,
AA45,To cover,اوڑھنا,اِدَّثَرَ,Id’datharaa,,,,,
AA45,To cover,اوڑھنا,اِزَّمَّلَ,Iz’zammala,,,,,
AA46,Children/Offspring,اولاد,أَوْلَادْ,Awlaad,,,,,
AA46,Children/Offspring,اولاد,ذُرْيَّة,Thurreeyah,,,,,
AA46,Children/Offspring,اولاد,أَسْبَاطْ,Assbaat,,,,,
AA46,Children/Offspring,اولاد,عَقِبْ,Aqib,,,,,
AA46,Children/Offspring,اولاد,نَسِلْ,Nasl,,,,,
AA46,Children/Offspring,اولاد,حَفَدَة,Hafadah,,,,,
AA46,Children/Offspring,اولاد,آل,Aaal,,,,,
AA46,Children/Offspring,اولاد,أَهْل,Ahll,,,,,
AA47,Wool,اون,صُوفْ,Soof,,,,,
AA47,Wool,اون,عِهْن,Eh’n,,,,,
AA48,Camel,اونٹ,بَعِيرْ,Eb’l,,,,,
AA48,Camel,اونٹ,جَمَلْ,Ba’eer,,,,,
AA48,Camel,اونٹ,هِيم,Jamal,,,,,
