ar_u_root,canonical_input,root,root_norm,arabic_trilateral,english_trilateral,root_latn,alt_latn_json,search_keys_norm,status,difficulty,frequency,created_at,updated_at,extracted_at,meta_json
6d9522b126272fdc0c4014726865f992c699fdc4959675b38aaa21873a2da008,root|j*w,جذو,j*w,ج   ذ   و,j-*-w,j*w,"[""j-*-w"", ""J-*-W"", ""j*w"", ""J*W""]",جذو j*w j-*-w ج   ذ   و,active,,,2026-01-23T06:07:09.308343,,,"{""family"":""quran"",""root_copy"":""جذو"",""letter_breakdown"":""ج   ذ   و"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":1197,""romanization_sources"":{""original"":""j*w""}}"
4651222d994c22e3388dbeacba28bc3e13857281e32c88212a6e7e0ed911ba10,root|*bb,ذبب,*bb,ذ   ب   ب,*-b-b,*bb,"[""*-b-b"", ""*-B-B"", ""*bb"", ""*BB""]",ذبب *bb *-b-b ذ   ب   ب,active,,,2026-01-23T06:07:09.308419,,,"{""family"":""quran"",""root_copy"":""ذبب"",""letter_breakdown"":""ذ   ب   ب"",""legacy_word_count"":2,""legacy_occurrence_count"":2,""legacy_row_id"":1204,""romanization_sources"":{""original"":""*bb""}}"
9cf83a0784952d75889e92d30f442a2ff04a00e3c79781ddebe261b7c2aba1d7,root|*mm,ذمم,*mm,ذ   م   م,*-m-m,*mm,"[""*-m-m"", ""*-M-M"", ""*mm"", ""*MM""]",ذمم *mm *-m-m ذ   م   م,active,,,2026-01-23T06:07:09.308940,,,"{""family"":""quran"",""root_copy"":""ذمم"",""letter_breakdown"":""ذ   م   م"",""legacy_word_count"":5,""legacy_occurrence_count"":3,""legacy_row_id"":1250,""romanization_sources"":{""original"":""*mm""}}"
ff713552f4f0ec24617e5f4667c65b3d266d6e5c21bb34588ba34fe188834b1b,root|hw*,حوذ,Hw*,ح   و   ذ,h-w-*,Hw*,"[""h-w-*"", ""H-W-*"", ""hw*"", ""HW*""]",حوذ hw* h-w-* ح   و   ذ,active,,,2026-01-23T06:07:09.310553,,,"{""family"":""quran"",""root_copy"":""حوذ"",""letter_breakdown"":""ح   و   ذ"",""legacy_word_count"":2,""legacy_occurrence_count"":2,""legacy_row_id"":1382,""romanization_sources"":{""original"":""Hw*""}}"
576e903a9cf9660186c9c0efab8496774dbba84972734e57923f915c8aab122e,root|r*l,رذل,r*l,ر ذ ل,r-*-l,r*l,"[""r-*-l"", ""R-*-L"", ""r*l"", ""R*L""]",رذل r*l r-*-l ر ذ ل,active,,,2026-01-23T06:07:09.310840,,,"{""family"":""quran"",""root_copy"":""رذل"",""letter_breakdown"":""ر ذ ل"",""legacy_word_count"":4,""legacy_occurrence_count"":3,""legacy_row_id"":1407,""romanization_sources"":{""original"":""r*l""}}"
dbcc774ae803a5289195fe7c2be594067322280860c6d452e200232731aa145c,root|$r*m,شرذم,$r*m,ش   ر   ذ   م,$-r-*-m,$r*m,"[""$-r-*-m"", ""$-R-*-M"", ""$r*m"", ""$R*M""]",شرذم $r*m $-r-*-m ش   ر   ذ   م,active,,,2026-01-23T06:07:09.311016,,,"{""family"":""quran"",""root_copy"":""شرذم"",""letter_breakdown"":""ش   ر   ذ   م"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":1423,""romanization_sources"":{""original"":""$r*m""}}"
f25446f3608dfff5427e16e2fdb083bab3215994de4b58c92e8a1830ad2e57ee,root|wq*,وقذ,wq*,و ق ذ,w-q-*,wq*,"[""w-q-*"", ""W-Q-*"", ""wq*"", ""WQ*""]",وقذ wq* w-q-* و ق ذ,active,,,2026-01-23T06:07:09.311038,,,"{""family"":""quran"",""root_copy"":""وقذ"",""letter_breakdown"":""و ق ذ"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":1425,""romanization_sources"":{""original"":""wq*""}}"
fdfee564e2e00cfc11b7e1506ab7bff95f854404c0f0dc71f54794624e5c4c77,root|*kw,ذكو,*kw,ذ   ك   و,*-k-w,*kw,"[""*-k-w"", ""*-K-W"", ""*kw"", ""*KW""]",ذكو *kw *-k-w ذ   ك   و,active,,,2026-01-23T06:07:09.311159,,,"{""family"":""quran"",""root_copy"":""ذكو"",""letter_breakdown"":""ذ   ك   و"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":1436,""romanization_sources"":{""original"":""*kw""}}"
7808532227176496db2f3e133c00101de30dc0785ea18ccf6a800ba151d41b93,root|*xr,ذخر,*xr,ذ   خ   ر,*-x-r,*xr,"[""*-x-r"", ""*-X-R"", ""*xr"", ""*XR""]",ذخر *xr *-x-r ذ   خ   ر,active,,,2026-01-23T06:07:09.311239,,,"{""family"":""quran"",""root_copy"":""ذخر"",""letter_breakdown"":""ذ   خ   ر"",""legacy_word_count"":1,""legacy_occurrence_count"":1,""legacy_row_id"":1443,""romanization_sources"":{""original"":""*xr""}}"
4404221693373c7f7d5d5516bd12d28019e8f38ec5a8b37ed07478bde9625151,root|q*f,قذف,q*f,ق ذ ف,q-*-f,q*f,"[""q-*-f"", ""Q-*-F"", ""q*f"", ""Q*F""]",قذف q*f q-*-f ق ذ ف,active,,,2026-01-23T06:07:09.311835,,,"{""family"":""quran"",""root_copy"":""قذف"",""letter_breakdown"":""ق ذ ف"",""legacy_word_count"":9,""legacy_occurrence_count"":7,""legacy_row_id"":1494,""romanization_sources"":{""original"":""q*f""}}"
9dc01cfc9f400a07e96c4fa15ab8b7ec4ebefc3a4fcf845625da618ea3d42b1f,root|*nb,ذنب,*nb,ذ ن ب,*-n-b,*nb,"[""*-n-b"", ""*-N-B"", ""*nb"", ""*NB""]",ذنب *nb *-n-b ذ ن ب,active,,,2026-01-23T06:07:09.311924,,,"{""family"":""quran"",""root_copy"":""ذنب"",""letter_breakdown"":""ذ ن ب"",""legacy_word_count"":39,""legacy_occurrence_count"":18,""legacy_row_id"":1497,""romanization_sources"":{""original"":""*nb""}}"
5094573baf66d52c2c261ad5a421940bb8b1c2424fd8201f3035996bd99f80b3,root|nf*,نفذ,nf*,ن   ف   ذ,n-f-*,nf*,"[""n-f-*"", ""N-F-*"", ""nf*"", ""NF*""]",نفذ nf* n-f-* ن   ف   ذ,active,,,2026-01-23T06:07:09.312519,,,"{""family"":""quran"",""root_copy"":""نفذ"",""letter_breakdown"":""ن   ف   ذ"",""legacy_word_count"":3,""legacy_occurrence_count"":3,""legacy_row_id"":1546,""romanization_sources"":{""original"":""nf*""}}"
