topic_id,topic_en,topic_ur,words_ar_json,synonyms_json,roots_json,roots_ar_json,verses_json,search_keys_norm,created_at,updated_at
TA2,"Having strength, strong",Taaqat rakhna,"[""أطاق"",""استطاع""]","[{""word_ar"":""أَطَاق"",""word_en"":""Ataaq"",""root"":null,""root_ar"":null},{""word_ar"":""اِسْتَطَاع"",""word_en"":""Esstataa’a"",""root"":null,""root_ar"":null}]",[],[],"[""2:184"",""3:97"",""18:97"",""5:112""]",أطاق استطاع,2026-02-12 06:00:33,
TA3,Tradition,"Tareeqah, Dastoor","[""طريقة"",""سنة"",""أمة"",""شريعة"",""منهاج"",""منسك"",""شاكلة"",""معروف"",""خلق""]","[{""word_ar"":""طَرِيقَة"",""word_en"":""Tareeqah"",""root"":null,""root_ar"":null},{""word_ar"":""سُنَّة"",""word_en"":""Sunnah"",""root"":null,""root_ar"":null},{""word_ar"":""أُمَّة"",""word_en"":""Ummah"",""root"":null,""root_ar"":null},{""word_ar"":""شَرِيعَة"",""word_en"":""Sharee’ah"",""root"":null,""root_ar"":null},{""word_ar"":""مِنْهَاج"",""word_en"":""Minhaaj"",""root"":null,""root_ar"":null},{""word_ar"":""مَنْسَك"",""word_en"":""Mansak"",""root"":null,""root_ar"":null},{""word_ar"":""شَاكِلَة"",""word_en"":""Shaakilah"",""root"":null,""root_ar"":null},{""word_ar"":""مَعْرُوف"",""word_en"":""Ma’aroof"",""root"":null,""root_ar"":null},{""word_ar"":""خُلُق"",""word_en"":""Khuluq"",""root"":null,""root_ar"":null}]",[],[],"[""20:63"",""20:104"",""35:43"",""43:23"",""45:18"",""5:48"",""22:67"",""2:196"",""17:84"",""2:241"",""26:137""]",طريقة سنة أمة شريعة منهاج منسك شاكلة معروف خلق,2026-02-12 06:00:33,
ZA1,"To become manifest, revealed",ظاہر ہونا,"[""ظهر"",""جهر"",""بدا"",""عثر"",""تبين"",""استبان"",""حصحص"",""تجلى"",""شرعا""]","[{""word_ar"":""ظَهَرَ"",""word_en"":""Zahara"",""root"":null,""root_ar"":null},{""word_ar"":""جَهَرَ"",""word_en"":""Jahara"",""root"":null,""root_ar"":null},{""word_ar"":""بَدَا"",""word_en"":""Badaa"",""root"":null,""root_ar"":null},{""word_ar"":""عَثَرَ"",""word_en"":""Athara"",""root"":null,""root_ar"":null},{""word_ar"":""تَبَيَّنَ-اِسْتَبَانَ"",""word_en"":""Tabayyana-Ess’tabaana"",""root"":null,""root_ar"":null},{""word_ar"":""حَصْحَصَ"",""word_en"":""Hass’hasa"",""root"":null,""root_ar"":null},{""word_ar"":""تَجَلَّى"",""word_en"":""Tajallaa"",""root"":null,""root_ar"":null},{""word_ar"":""شُرَّعاً"",""word_en"":""Shurra’an"",""root"":null,""root_ar"":null}]",[],[],"[""30:41"",""7:33"",""2:55"",""4:148"",""6:28"",""7:22"",""12:35"",""5:107"",""2:256"",""6:56"",""12:51"",""7:143"",""7:163""]",ظهر جهر بدا عثر تبين استبان حصحص تجلى شرعا,2026-02-12 06:00:33,
ZA2,"To reveal, manifest",ظاہر کرنا,"[""أظهر"",""أبدا"",""أعثر"",""جهر"",""أعلن""]","[{""word_ar"":""أَظْهَرَ"",""word_en"":""Azhara"",""root"":null,""root_ar"":null},{""word_ar"":""أَبْدَا"",""word_en"":""Abdaa"",""root"":null,""root_ar"":null},{""word_ar"":""أَعْثَرَ"",""word_en"":""A’athara"",""root"":null,""root_ar"":null},{""word_ar"":""جَهَرَ"",""word_en"":""Jahara"",""root"":null,""root_ar"":null},{""word_ar"":""أَعْلَنَ"",""word_en"":""A’alana"",""root"":null,""root_ar"":null}]",[],[],"[""72:26"",""2:33"",""18:21"",""67:13"",""16:19""]",أظهر أبدا أعثر جهر أعلن,2026-02-12 06:00:33,
ch11,The bursting and flowing of a  stream,اور بہنا چشمہ کا پھوٹنا,[],[],[],[],"[""11:40"",""55:66"",""7:160"",""2:60"",""54:12"",""13:17"",""34:12"",""34:16"",""55:50"",""2:25"",""5:83"",""2:199""]",,2026-02-12 06:00:33,
ch12,To walk and types of walking,چلنا,[],[],[],[],"[""25:7"",""11:6"",""18:71"",""26:13"",""16:69"",""28:32"",""18:61"",""89:4"",""14:33"",""12:47"",""43:8"",""18:60"",""50:36"",""28:29"",""28:11"",""22:27"",""2:239""]",,2026-02-12 06:00:33,
ch14,To scream,چلانا چیخنا,[],[],[],[],"[""2:171"",""43:57"",""23:64"",""28:18"",""51:29""]",,2026-02-12 06:00:33,
ch15,"To stick , cling",چمٹنا,[],[],[],[],"[""2:273"",""37:11"",""20:129""]",,2026-02-12 06:00:33,
ch24,To conceal,چھپانا,[],[],[],[],"[""2:140"",""2:159"",""40:28"",""7:20"",""5:31"",""6:25"",""2:235"",""12:19"",""27:25""]",,2026-02-12 06:00:33,
ch25,roof,چھت,[],[],[],[],"[""2:259"",""16:26"",""2:23""]",,2026-02-12 06:00:33,
ch26,To leave,چھوڑنا,[],[],[],[],"[""2:180"",""12:17"",""73:10"",""2:218"",""81:4"",""22:45"",""9:5"",""6:70"",""74:11"",""33:48"",""93:31"",""18:47"",""18:50""]",,2026-02-12 06:00:33,
ch28,Touch,چھونا,[],[],[],[],"[""3:47"",""5:6"",""55:51"",""21:83"",""2:80"",""72:8""]",,2026-02-12 06:00:33,
ch4,Moon,چاند,[],[],[],[],"[""2:189"",""36:39""]",,2026-02-12 06:00:33,
ch5,"To like, intend, desire",چاہنا,[],[],[],[],"[""2:185"",""40:31"",""81:29"",""61:8"",""41:31"",""12:65"",""92:20"",""68:32""]",,2026-02-12 06:00:33,
d10,In between,درمیان,"[""بين"",""سواء"",""وسط"",""خلال"",""قصد""]","[{""word_ar"":""بَيْن"",""word_en"":""Bayn"",""root"":""byn"",""root_ar"":""بين""},{""word_ar"":""سَوَاء"",""word_en"":""Sawaa’a"",""root"":""swA"",""root_ar"":""سوا""},{""word_ar"":""وَسَط"",""word_en"":""Wasat"",""root"":""wsT"",""root_ar"":""وسط""},{""word_ar"":""خِلَال"",""word_en"":""Khilaal"",""root"":""xll"",""root_ar"":""خلل""},{""word_ar"":""قَصْد"",""word_en"":""Qassd"",""root"":""qsd"",""root_ar"":""قسد""}]","[""byn"",""swA"",""wsT"",""xll"",""qsd""]","[""بين"",""سوا"",""وسط"",""خلل"",""قسد""]","[""2:164"",""38:22"",""18:33"",""24:43"",""2:238"",""2:143"",""44:47"",""31:19""]",بين سواء وسط خلال قصد,2026-02-12 06:00:33,
d12,To pray for/to,دعا دینا - کرنا,"[""دعا"",""سلم"",""حي"",""صلى""]","[{""word_ar"":""دَعَا"",""word_en"":""Da’aa"",""root"":""dEw"",""root_ar"":""دعو""},{""word_ar"":""سَلَّمَ"",""word_en"":""Sallama"",""root"":""slm"",""root_ar"":""سلم""},{""word_ar"":""حَيَّ"",""word_en"":""Hayya"",""root"":""Hyy"",""root_ar"":""حيي""},{""word_ar"":""صَلَّى"",""word_en"":""Sallaa"",""root"":""Slw"",""root_ar"":""صلو""}]","[""dEw"",""slm"",""Hyy"",""Slw""]","[""دعو"",""سلم"",""حيي"",""صلو""]","[""2:61"",""24:61"",""4:86"",""9:103"",""33:56""]",دعا سلم حي صلى,2026-02-12 06:00:33,
d14,Inspiration in the heart,دل میں بات ڈالنا,"[""وحي"",""إلهام"",""إلقاء"",""وسواس"",""همزات""]","[{""word_ar"":""وَحْي"",""word_en"":""Wahi"",""root"":""wHy"",""root_ar"":""وحي""},{""word_ar"":""إِلْهَام"",""word_en"":""El’haam"",""root"":null,""root_ar"":null},{""word_ar"":""إِلْقَاء"",""word_en"":""El’qaa’a"",""root"":null,""root_ar"":null},{""word_ar"":""وَسْوَاس"",""word_en"":""Wass’waass"",""root"":""wsws"",""root_ar"":""وسوس""},{""word_ar"":""هَمَزَات"",""word_en"":""Hamazaat"",""root"":""hmz"",""root_ar"":""همز""}]","[""wHy"",""wsws"",""hmz""]","[""وحي"",""وسوس"",""همز""]","[""41:12"",""12:68"",""28:7"",""19:11"",""6:121"",""2:97"",""91:8"",""54:25"",""2:37"",""22:52"",""114:4"",""23:97"",""16:68""]",وحي إلهام إلقاء وسواس همزات,2026-02-12 06:00:33,
d15,Proof,دلیل,"[""دليل"",""حجة"",""بينة"",""برهان"",""سلطان""]","[{""word_ar"":""دَلِيل"",""word_en"":""Daleel"",""root"":""dll"",""root_ar"":""دلل""},{""word_ar"":""حُجَّة"",""word_en"":""Hujjah"",""root"":""Hjj"",""root_ar"":""حجج""},{""word_ar"":""بَيِّنَة"",""word_en"":""Bayinah"",""root"":""byn"",""root_ar"":""بين""},{""word_ar"":""بُرْهَان"",""word_en"":""Burhaan"",""root"":""brh"",""root_ar"":""بره""},{""word_ar"":""سُلْطَان"",""word_en"":""Sultaan"",""root"":null,""root_ar"":null}]","[""dll"",""Hjj"",""byn"",""brh""]","[""دلل"",""حجج"",""بين"",""بره""]","[""25:45"",""6:83"",""29:49"",""2:111"",""28:32""]",دليل حجة بينة برهان سلطان,2026-02-12 06:00:33,
d17,Different names for the world,دنیا کے مختلف نام,"[""دنيا"",""أدنى"",""عاجلة"",""أولى""]","[{""word_ar"":""دُنْيَا"",""word_en"":""Dunyaa"",""root"":""dny"",""root_ar"":""دني""},{""word_ar"":""أَدْنَى"",""word_en"":""Ad’naa"",""root"":""Adn"",""root_ar"":""ادن""},{""word_ar"":""عَاجِلَة"",""word_en"":""Aa’jilah"",""root"":""Ejl"",""root_ar"":""عجل""},{""word_ar"":""أُولَى"",""word_en"":""O’laa"",""root"":null,""root_ar"":null}]","[""dny"",""Adn"",""Ejl""]","[""دني"",""ادن"",""عجل""]","[""2:86"",""7:189"",""75:20"",""92:13""]",دنيا أدنى عاجلة أولى,2026-02-12 06:00:33,
d24,friend,دوست,"[""قرين"",""رفيق"",""صديق"",""ولي"",""موالي"",""خليل"",""حميم"",""وليجة"",""بطانة"",""خذول"",""أخدان""]","[{""word_ar"":""قَرِين"",""word_en"":""Qareen"",""root"":""qrn"",""root_ar"":""قرن""},{""word_ar"":""رَفِيق"",""word_en"":""Rafeeq"",""root"":""rfq"",""root_ar"":""رفق""},{""word_ar"":""صَدِيق-صِدِّيق"",""word_en"":""Sadeeq-Sid’deeq"",""root"":""Sdq"",""root_ar"":""صدق""},{""word_ar"":""وَلِي-مَوَالِي"",""word_en"":""Walee-Mawaalee"",""root"":""wly"",""root_ar"":""ولي""},{""word_ar"":""خَلِيل"",""word_en"":""Khaleel"",""root"":""xll"",""root_ar"":""خلل""},{""word_ar"":""حَمِيم"",""word_en"":""Hameem"",""root"":""Hmm"",""root_ar"":""حمم""},{""word_ar"":""وَلِيجَة"",""word_en"":""Waleejah"",""root"":""wlj"",""root_ar"":""ولج""},{""word_ar"":""بِطَانَة"",""word_en"":""Bitaanah"",""root"":""bTn"",""root_ar"":""بطن""},{""word_ar"":""خَذُول"",""word_en"":""Khathool"",""root"":""x*l"",""root_ar"":""خذل""},{""word_ar"":""أَخْدَان"",""word_en"":""Akh’daan"",""root"":""xdn"",""root_ar"":""خدن""}]","[""qrn"",""rfq"",""Sdq"",""wly"",""xll"",""Hmm"",""wlj"",""bTn"",""x*l"",""xdn""]","[""قرن"",""رفق"",""صدق"",""ولي"",""خلل"",""حمم"",""ولج"",""بطن"",""خذل"",""خدن""]","[""43:38"",""4:69"",""2:257"",""4:33"",""24:61"",""12:46"",""4:124"",""70:10"",""9:16"",""3:118"",""25:29"",""4:25""]",قرين رفيق صديق ولي موالي خليل حميم وليجة بطانة خذول أخدان,2026-02-12 06:00:33,
d29,To deceive,دھوکہ دینا,"[""غر"",""خدع"",""خان"",""خذل"",""راغ"",""ختر""]","[{""word_ar"":""غَرَّ"",""word_en"":""Gharra"",""root"":""grr"",""root_ar"":""غرر""},{""word_ar"":""خَدَعَ"",""word_en"":""Khada’aa"",""root"":""xdE"",""root_ar"":""خدع""},{""word_ar"":""خَانَ"",""word_en"":""Khaana"",""root"":""xwn"",""root_ar"":""خون""},{""word_ar"":""خَذَلَ"",""word_en"":""Khathala"",""root"":""x*l"",""root_ar"":""خذل""},{""word_ar"":""رَاغَ"",""word_en"":""Raagha"",""root"":""rwg"",""root_ar"":""روغ""},{""word_ar"":""خَتَرَ"",""word_en"":""Khatara"",""root"":""xtr"",""root_ar"":""ختر""}]","[""grr"",""xdE"",""xwn"",""x*l"",""rwg"",""xtr""]","[""غرر"",""خدع"",""خون"",""خذل"",""روغ"",""ختر""]","[""57:14"",""2:9"",""8:58"",""37:91"",""31:32""]",غر خدع خان خذل راغ ختر,2026-02-12 06:00:33,
d3,To mark/scar,داغ دینا,"[""وسم"",""كوى"",""شيه""]","[{""word_ar"":""وَسَمَ"",""word_en"":""Wasama"",""root"":""wsm"",""root_ar"":""وسم""},{""word_ar"":""كَوَى"",""word_en"":""Kawaa"",""root"":""kwy"",""root_ar"":""كوي""},{""word_ar"":""شِيَه"",""word_en"":""Shiyah"",""root"":""w$y"",""root_ar"":""وشي""}]","[""wsm"",""kwy"",""w$y""]","[""وسم"",""كوي"",""وشي""]","[""68:16"",""9:35"",""2:71""]",وسم كوى شيه,2026-02-12 06:00:33,
d31,Various ways of looking,دیکھنا [کیفیت نظر],"[""شخص"",""لمح"",""هطع"",""عشا"",""أغمض"",""زاغ"",""برق""]","[{""word_ar"":""شَخَصَ"",""word_en"":""Shakhasa"",""root"":""$xS"",""root_ar"":""شخص""},{""word_ar"":""لَمَحَ"",""word_en"":""Lamaha"",""root"":""lmH"",""root_ar"":""لمح""},{""word_ar"":""هَطَعَ"",""word_en"":""Hata’aa"",""root"":""hTE"",""root_ar"":""هطع""},{""word_ar"":""عَشَا"",""word_en"":""Ashaa"",""root"":""E$A"",""root_ar"":""عشا""},{""word_ar"":""أَغْمَضَ"",""word_en"":""Aghmada"",""root"":""gmD"",""root_ar"":""غمض""},{""word_ar"":""زَاغَ"",""word_en"":""Zaagha"",""root"":""zAg"",""root_ar"":""زاغ""},{""word_ar"":""بَرِقَ"",""word_en"":""Bariqa"",""root"":""brq"",""root_ar"":""برق""}]","[""$xS"",""lmH"",""hTE"",""E$A"",""gmD"",""zAg"",""brq""]","[""شخص"",""لمح"",""هطع"",""عشا"",""غمض"",""زاغ"",""برق""]","[""21:97"",""16:77"",""14:43"",""43:36"",""2:267"",""53:17"",""75:7""]",شخص لمح هطع عشا أغمض زاغ برق,2026-02-12 06:00:33,
d34,To give,دینا,"[""أتى"",""أعطى"",""أداء"",""دية"",""أثاب"",""وهب"",""رفد"",""دفعإلى"",""هدية"",""نحلة""]","[{""word_ar"":""أَتَى"",""word_en"":""Ataa"",""root"":""Aty"",""root_ar"":""اتي""},{""word_ar"":""أَعْطَى"",""word_en"":""A’ataa"",""root"":""ETw"",""root_ar"":""عطو""},{""word_ar"":""أَدَاءٌ"",""word_en"":""Aadaa’a"",""root"":""Adw"",""root_ar"":""ادو""},{""word_ar"":""دِيَة"",""word_en"":""Deeyah"",""root"":""wdy"",""root_ar"":""ودي""},{""word_ar"":""أَثَابَ"",""word_en"":""Athaaba"",""root"":""vwb"",""root_ar"":""ثوب""},{""word_ar"":""وَهَبَ"",""word_en"":""Wahaba"",""root"":""whb"",""root_ar"":""وهب""},{""word_ar"":""رَفَدَ"",""word_en"":""Rafada"",""root"":""rfd"",""root_ar"":""رفد""},{""word_ar"":""دَفَعَ إِلَى"",""word_en"":""Dafa’aa Elaa"",""root"":""dfE"",""root_ar"":""دفع""},{""word_ar"":""هَدِيَة"",""word_en"":""Hadeeyah"",""root"":""hdy"",""root_ar"":""هدي""},{""word_ar"":""نِحْلَةً"",""word_en"":""Nih’lah"",""root"":""nHl"",""root_ar"":""نحل""}]","[""Aty"",""ETw"",""Adw"",""wdy"",""vwb"",""whb"",""rfd"",""dfE"",""hdy"",""nHl""]","[""اتي"",""عطو"",""ادو"",""ودي"",""ثوب"",""وهب"",""رفد"",""دفع"",""هدي"",""نحل""]","[""2:177"",""20:50"",""11:108"",""2:283"",""4:92"",""5:85"",""42:49"",""11:99"",""4:6"",""27:36"",""4:4""]",أتى أعطى أداء دية أثاب وهب رفد دفعإلى هدية نحلة,2026-02-12 06:00:33,
d36,"Lunatic , insanity",دیوانہ- دیوانگی,"[""مجنون"",""خبط"",""مفتون"",""سعر""]","[{""word_ar"":""مَجْنُون"",""word_en"":""Majnoon"",""root"":""jnn"",""root_ar"":""جنن""},{""word_ar"":""خَبَطَ"",""word_en"":""Khabata"",""root"":""xbT"",""root_ar"":""خبط""},{""word_ar"":""مَفْتُون"",""word_en"":""Maftoon"",""root"":""ftn"",""root_ar"":""فتن""},{""word_ar"":""سُعُر"",""word_en"":""Su’or"",""root"":""sEr"",""root_ar"":""سعر""}]","[""jnn"",""xbT"",""ftn"",""sEr""]","[""جنن"",""خبط"",""فتن"",""سعر""]","[""51:52"",""23:25"",""2:275"",""68:5"",""54:24""]",مجنون خبط مفتون سعر,2026-02-12 06:00:33,
dd1,"To throw, pour, cast away",ڈالنا,"[""ألقى"",""سلك"",""نبذ"",""قذف"",""افرغ"",""أوقع""]","[{""word_ar"":""أَلْقَى"",""word_en"":""Alqaa"",""root"":""lqy"",""root_ar"":""لقي""},{""word_ar"":""سَلَكَ"",""word_en"":""Salaka"",""root"":""slk"",""root_ar"":""سلك""},{""word_ar"":""نَبَذَ"",""word_en"":""Nabatha"",""root"":""nb*"",""root_ar"":""نبذ""},{""word_ar"":""قَذَفَ"",""word_en"":""Qathafa"",""root"":""q*f"",""root_ar"":""قذف""},{""word_ar"":""اَفْرَغَ"",""word_en"":""Afragha"",""root"":""frg"",""root_ar"":""فرغ""},{""word_ar"":""أَوْقَعَ"",""word_en"":""Awqa’aa"",""root"":""wqE"",""root_ar"":""وقع""}]","[""lqy"",""slk"",""nb*"",""q*f"",""frg"",""wqE""]","[""لقي"",""سلك"",""نبذ"",""قذف"",""فرغ"",""وقع""]","[""20:39"",""28:32"",""37:145"",""2:250"",""18:96"",""5:91""]",ألقى سلك نبذ قذف افرغ أوقع,2026-02-12 06:00:33,
dd2,"To drown, dip",ڈبونا,"[""أغرق"",""صبغ""]","[{""word_ar"":""أَغْرَقَ"",""word_en"":""Aghraqa"",""root"":""grq"",""root_ar"":""غرق""},{""word_ar"":""صَبَغَ"",""word_en"":""Sabagha"",""root"":""Sbg"",""root_ar"":""صبغ""}]","[""grq"",""Sbg""]","[""غرق"",""صبغ""]","[""2:50"",""2:138"",""23:20""]",أغرق صبغ,2026-02-12 06:00:33,
dd3,To fear,ڈرنا,"[""خاف"",""خشي"",""خشع"",""اتقى"",""راع"",""حذر"",""أوجس"",""وجف"",""وجل"",""رهب"",""رعب"",""أشفق""]","[{""word_ar"":""خَافَ"",""word_en"":""Khaafa"",""root"":""xwf"",""root_ar"":""خوف""},{""word_ar"":""خَشِيَ"",""word_en"":""Khashiya"",""root"":""x$y"",""root_ar"":""خشي""},{""word_ar"":""خَشَعَ"",""word_en"":""Khasha’aa"",""root"":""x$E"",""root_ar"":""خشع""},{""word_ar"":""اِتَّقَى"",""word_en"":""Et’taqaa"",""root"":""wqy"",""root_ar"":""وقي""},{""word_ar"":""رَاعَ"",""word_en"":""Raa’aa"",""root"":""rwE"",""root_ar"":""روع""},{""word_ar"":""حِذْر"",""word_en"":""Hithrr"",""root"":""H*r"",""root_ar"":""حذر""},{""word_ar"":""أَوْجَسَ"",""word_en"":""Awjasa"",""root"":""wjs"",""root_ar"":""وجس""},{""word_ar"":""وَجَفَ"",""word_en"":""Wajafa"",""root"":""wjf"",""root_ar"":""وجف""},{""word_ar"":""وَجَلَ"",""word_en"":""Wajala"",""root"":""wjl"",""root_ar"":""وجل""},{""word_ar"":""رَهَبَ"",""word_en"":""Rahaba"",""root"":""rhb"",""root_ar"":""رهب""},{""word_ar"":""رَعَبَ"",""word_en"":""Ra’a’ba"",""root"":""rEb"",""root_ar"":""رعب""},{""word_ar"":""أَشْفَقَ"",""word_en"":""Ash’faqa"",""root"":""$fq"",""root_ar"":""شفق""}]","[""xwf"",""x$y"",""x$E"",""wqy"",""rwE"",""H*r"",""wjs"",""wjf"",""wjl"",""rhb"",""rEb"",""$fq""]","[""خوف"",""خشي"",""خشع"",""وقي"",""روع"",""حذر"",""وجس"",""وجف"",""وجل"",""رهب"",""رعب"",""شفق""]","[""11:70"",""17:31"",""70:44"",""88:2"",""20:108"",""57:16"",""2:187"",""2:19"",""4:71"",""11:74"",""79:8"",""8:2"",""21:90"",""18:18"",""18:49""]",خاف خشي خشع اتقى راع حذر أوجس وجف وجل رهب رعب أشفق,2026-02-12 06:00:33,
dd6,Shield,ڈھال,"[""جنة"",""عرضة""]","[{""word_ar"":""جُنَّة"",""word_en"":""Junnah"",""root"":""jnn"",""root_ar"":""جنن""},{""word_ar"":""عُرْضَة"",""word_en"":""Ur’dah"",""root"":""ErD"",""root_ar"":""عرض""}]","[""jnn"",""ErD""]","[""جنن"",""عرض""]","[""58:16"",""2:224""]",جنة عرضة,2026-02-12 06:00:33,
dh1,To slaughter,ذبح کرنا,[],[],[],[],"[""2:71"",""5:3"",""108:3""]",,2026-02-12 06:00:33,
dh4,disgraced,ذلیل,[],[],[],[],"[""3:123"",""43:52"",""9:29"",""40:60"",""27:87"",""11:27"",""41:29"",""2:65""]",,2026-02-12 06:00:33,
f1,"Benefit, to give benefit",فائدہ – فائدہ دینا,"[""نفع"",""متع"",""ربح"",""مآرب""]","[{""word_ar"":""نَفَعَ"",""word_en"":""Nafa’aa"",""root"":null,""root_ar"":null},{""word_ar"":""مَتَعَ"",""word_en"":""Mata’aa"",""root"":null,""root_ar"":null},{""word_ar"":""رَبَحَ"",""word_en"":""Rabaha"",""root"":null,""root_ar"":null},{""word_ar"":""مَآرِب"",""word_en"":""Ma’aarib"",""root"":null,""root_ar"":null}]",[],[],"[""13:16"",""79:31"",""2:236"",""11:65"",""2:16"",""20:18""]",نفع متع ربح مآرب,2026-02-12 06:00:33,
